cell,group,anchor,present,auroc,flipped,wrong_sign,K,best_possible
ars_gsm8k_r1distill8b,math,epr,True,0.7623,False,False,2,0.7623
ars_gsm8k_r1distill8b,math,topk_tail_mass,True,0.7623,False,False,2,0.7623
ars_gsm8k_r1distill8b,math,mean_logprob_entropy,True,0.7623,False,False,2,0.7623
ars_gsm8k_r1distill8b,math,renyi_entropy_2,True,0.7623,False,False,2,0.7623
ars_gsm8k_r1distill8b,math,cusum_max,True,0.7623,False,False,2,0.7623
ars_gsm8k_r1distill8b,math,rpdi,True,0.7623,False,False,2,0.7623
ars_gsm8k_r1distill8b,math,stft_max_high_power,True,0.7623,False,False,2,0.7623
ars_gsm8k_r1distill8b,math,spectral_entropy,True,0.7623,False,False,2,0.7623
ars_gsm8k_r1distill8b,math,low_band_power,True,0.7623,False,False,2,0.7623
epr_triviaqa_mistral24b,QA,epr,True,0.7332,False,False,2,0.7332
epr_triviaqa_mistral24b,QA,topk_tail_mass,True,0.7332,False,False,2,0.7332
epr_triviaqa_mistral24b,QA,mean_logprob_entropy,True,0.7332,False,False,2,0.7332
epr_triviaqa_mistral24b,QA,renyi_entropy_2,True,0.7332,False,False,2,0.7332
epr_triviaqa_mistral24b,QA,cusum_max,True,0.7332,False,False,2,0.7332
epr_triviaqa_mistral24b,QA,rpdi,True,0.2668,True,True,2,0.7332
epr_triviaqa_mistral24b,QA,stft_max_high_power,False,,,,2,0.7331949276175513
epr_triviaqa_mistral24b,QA,spectral_entropy,True,0.7332,False,False,2,0.7332
epr_triviaqa_mistral24b,QA,low_band_power,True,0.7332,False,False,2,0.7332
inside_coqa_llama7b,QA,epr,True,0.6674,False,False,2,0.6674
inside_coqa_llama7b,QA,topk_tail_mass,True,0.6674,False,False,2,0.6674
inside_coqa_llama7b,QA,mean_logprob_entropy,True,0.6674,False,False,2,0.6674
inside_coqa_llama7b,QA,renyi_entropy_2,True,0.6674,False,False,2,0.6674
inside_coqa_llama7b,QA,cusum_max,True,0.6674,False,False,2,0.6674
inside_coqa_llama7b,QA,rpdi,True,0.6674,False,False,2,0.6674
inside_coqa_llama7b,QA,stft_max_high_power,True,0.6674,False,False,2,0.6674
inside_coqa_llama7b,QA,spectral_entropy,True,0.3326,True,True,2,0.6674
inside_coqa_llama7b,QA,low_band_power,True,0.3326,True,True,2,0.6674
internalstates_gsm8k_qwen25_7b,math,epr,True,0.7036,False,False,2,0.7036
internalstates_gsm8k_qwen25_7b,math,topk_tail_mass,True,0.7036,False,False,2,0.7036
internalstates_gsm8k_qwen25_7b,math,mean_logprob_entropy,True,0.7036,False,False,2,0.7036
internalstates_gsm8k_qwen25_7b,math,renyi_entropy_2,True,0.7036,False,False,2,0.7036
internalstates_gsm8k_qwen25_7b,math,cusum_max,True,0.7036,False,False,2,0.7036
internalstates_gsm8k_qwen25_7b,math,rpdi,True,0.7036,False,False,2,0.7036
internalstates_gsm8k_qwen25_7b,math,stft_max_high_power,True,0.7036,False,False,2,0.7036
internalstates_gsm8k_qwen25_7b,math,spectral_entropy,True,0.7036,False,False,2,0.7036
internalstates_gsm8k_qwen25_7b,math,low_band_power,True,0.7036,False,False,2,0.7036
lapeigvals_gsm8k_llama3b,math,epr,True,0.7025,False,False,4,0.7025
lapeigvals_gsm8k_llama3b,math,topk_tail_mass,True,0.7025,False,False,4,0.7025
lapeigvals_gsm8k_llama3b,math,mean_logprob_entropy,True,0.7025,False,False,4,0.7025
lapeigvals_gsm8k_llama3b,math,renyi_entropy_2,True,0.7025,False,False,4,0.7025
lapeigvals_gsm8k_llama3b,math,cusum_max,True,0.7025,False,False,4,0.7025
lapeigvals_gsm8k_llama3b,math,rpdi,True,0.7025,False,False,4,0.7025
lapeigvals_gsm8k_llama3b,math,stft_max_high_power,True,0.7025,False,False,4,0.7025
lapeigvals_gsm8k_llama3b,math,spectral_entropy,True,0.7025,False,False,4,0.7025
lapeigvals_gsm8k_llama3b,math,low_band_power,True,0.7025,False,False,4,0.7025
lapeigvals_gsm8k_llama8b,math,epr,True,0.8186,False,False,3,0.8186
lapeigvals_gsm8k_llama8b,math,topk_tail_mass,True,0.8186,False,False,3,0.8186
lapeigvals_gsm8k_llama8b,math,mean_logprob_entropy,True,0.8186,False,False,3,0.8186
lapeigvals_gsm8k_llama8b,math,renyi_entropy_2,True,0.8186,False,False,3,0.8186
lapeigvals_gsm8k_llama8b,math,cusum_max,True,0.8186,False,False,3,0.8186
lapeigvals_gsm8k_llama8b,math,rpdi,True,0.8186,False,False,3,0.8186
lapeigvals_gsm8k_llama8b,math,stft_max_high_power,True,0.8186,False,False,3,0.8186
lapeigvals_gsm8k_llama8b,math,spectral_entropy,True,0.8186,False,False,3,0.8186
lapeigvals_gsm8k_llama8b,math,low_band_power,True,0.8186,False,False,3,0.8186
lapeigvals_gsm8k_mistral24b,math,epr,True,0.8087,False,False,3,0.8087
lapeigvals_gsm8k_mistral24b,math,topk_tail_mass,True,0.8087,False,False,3,0.8087
lapeigvals_gsm8k_mistral24b,math,mean_logprob_entropy,True,0.8087,False,False,3,0.8087
lapeigvals_gsm8k_mistral24b,math,renyi_entropy_2,True,0.8087,False,False,3,0.8087
lapeigvals_gsm8k_mistral24b,math,cusum_max,True,0.8087,False,False,3,0.8087
lapeigvals_gsm8k_mistral24b,math,rpdi,True,0.8087,False,False,3,0.8087
lapeigvals_gsm8k_mistral24b,math,stft_max_high_power,True,0.8087,False,False,3,0.8087
lapeigvals_gsm8k_mistral24b,math,spectral_entropy,True,0.1913,True,True,3,0.8087
lapeigvals_gsm8k_mistral24b,math,low_band_power,True,0.8087,False,False,3,0.8087
lapeigvals_gsm8k_nemo,math,epr,True,0.8013,False,False,2,0.8013
lapeigvals_gsm8k_nemo,math,topk_tail_mass,True,0.8013,False,False,2,0.8013
lapeigvals_gsm8k_nemo,math,mean_logprob_entropy,True,0.8013,False,False,2,0.8013
lapeigvals_gsm8k_nemo,math,renyi_entropy_2,True,0.8013,False,False,2,0.8013
lapeigvals_gsm8k_nemo,math,cusum_max,True,0.8013,False,False,2,0.8013
lapeigvals_gsm8k_nemo,math,rpdi,True,0.8013,False,False,2,0.8013
lapeigvals_gsm8k_nemo,math,stft_max_high_power,True,0.8013,False,False,2,0.8013
lapeigvals_gsm8k_nemo,math,spectral_entropy,True,0.8013,False,False,2,0.8013
lapeigvals_gsm8k_nemo,math,low_band_power,True,0.8013,False,False,2,0.8013
lapeigvals_gsm8k_phi35,math,epr,True,0.8125,False,False,2,0.8125
lapeigvals_gsm8k_phi35,math,topk_tail_mass,True,0.8125,False,False,2,0.8125
lapeigvals_gsm8k_phi35,math,mean_logprob_entropy,True,0.8125,False,False,2,0.8125
lapeigvals_gsm8k_phi35,math,renyi_entropy_2,True,0.8125,False,False,2,0.8125
lapeigvals_gsm8k_phi35,math,cusum_max,True,0.8125,False,False,2,0.8125
lapeigvals_gsm8k_phi35,math,rpdi,True,0.8125,False,False,2,0.8125
lapeigvals_gsm8k_phi35,math,stft_max_high_power,True,0.8125,False,False,2,0.8125
lapeigvals_gsm8k_phi35,math,spectral_entropy,True,0.8125,False,False,2,0.8125
lapeigvals_gsm8k_phi35,math,low_band_power,True,0.8125,False,False,2,0.8125
losnet_hotpotqa_mistral7b,QA,epr,True,0.581,False,False,2,0.581
losnet_hotpotqa_mistral7b,QA,topk_tail_mass,True,0.581,False,False,2,0.581
losnet_hotpotqa_mistral7b,QA,mean_logprob_entropy,True,0.581,False,False,2,0.581
losnet_hotpotqa_mistral7b,QA,renyi_entropy_2,True,0.581,False,False,2,0.581
losnet_hotpotqa_mistral7b,QA,cusum_max,True,0.581,False,False,2,0.581
losnet_hotpotqa_mistral7b,QA,rpdi,True,0.581,False,False,2,0.581
losnet_hotpotqa_mistral7b,QA,stft_max_high_power,True,0.581,False,False,2,0.581
losnet_hotpotqa_mistral7b,QA,spectral_entropy,True,0.581,False,False,2,0.581
losnet_hotpotqa_mistral7b,QA,low_band_power,True,0.581,False,False,2,0.581
math500_dsmath7b,math,epr,True,0.7868,False,False,3,0.7868
math500_dsmath7b,math,topk_tail_mass,True,0.7868,False,False,3,0.7868
math500_dsmath7b,math,mean_logprob_entropy,True,0.7868,False,False,3,0.7868
math500_dsmath7b,math,renyi_entropy_2,True,0.7868,False,False,3,0.7868
math500_dsmath7b,math,cusum_max,True,0.7868,False,False,3,0.7868
math500_dsmath7b,math,rpdi,True,0.7868,False,False,3,0.7868
math500_dsmath7b,math,stft_max_high_power,True,0.7868,False,False,3,0.7868
math500_dsmath7b,math,spectral_entropy,True,0.7868,False,False,3,0.7868
math500_dsmath7b,math,low_band_power,True,0.7868,False,False,3,0.7868
math500_qwenmath7b,math,epr,True,0.8901,False,False,2,0.8901
math500_qwenmath7b,math,topk_tail_mass,True,0.8901,False,False,2,0.8901
math500_qwenmath7b,math,mean_logprob_entropy,True,0.8901,False,False,2,0.8901
math500_qwenmath7b,math,renyi_entropy_2,True,0.8901,False,False,2,0.8901
math500_qwenmath7b,math,cusum_max,True,0.8901,False,False,2,0.8901
math500_qwenmath7b,math,rpdi,True,0.8901,False,False,2,0.8901
math500_qwenmath7b,math,stft_max_high_power,True,0.1099,True,True,2,0.8901
math500_qwenmath7b,math,spectral_entropy,True,0.1099,True,True,2,0.8901
math500_qwenmath7b,math,low_band_power,True,0.8901,False,False,2,0.8901
math500_r1distill8b,math,epr,True,0.8357,False,False,3,0.8357
math500_r1distill8b,math,topk_tail_mass,True,0.8357,False,False,3,0.8357
math500_r1distill8b,math,mean_logprob_entropy,True,0.8357,False,False,3,0.8357
math500_r1distill8b,math,renyi_entropy_2,True,0.8357,False,False,3,0.8357
math500_r1distill8b,math,cusum_max,True,0.8357,False,False,3,0.8357
math500_r1distill8b,math,rpdi,True,0.8357,False,False,3,0.8357
math500_r1distill8b,math,stft_max_high_power,True,0.8357,False,False,3,0.8357
math500_r1distill8b,math,spectral_entropy,True,0.8357,False,False,3,0.8357
math500_r1distill8b,math,low_band_power,True,0.8357,False,False,3,0.8357
math500_r1distill8b_mn4096,math,epr,True,0.8329,False,False,2,0.8329
math500_r1distill8b_mn4096,math,topk_tail_mass,True,0.8329,False,False,2,0.8329
math500_r1distill8b_mn4096,math,mean_logprob_entropy,True,0.8329,False,False,2,0.8329
math500_r1distill8b_mn4096,math,renyi_entropy_2,True,0.8329,False,False,2,0.8329
math500_r1distill8b_mn4096,math,cusum_max,True,0.8329,False,False,2,0.8329
math500_r1distill8b_mn4096,math,rpdi,True,0.8329,False,False,2,0.8329
math500_r1distill8b_mn4096,math,stft_max_high_power,True,0.8329,False,False,2,0.8329
math500_r1distill8b_mn4096,math,spectral_entropy,True,0.8329,False,False,2,0.8329
math500_r1distill8b_mn4096,math,low_band_power,True,0.8329,False,False,2,0.8329
noise_gsm8k_mistral7b,math,epr,True,0.7902,False,False,2,0.7902
noise_gsm8k_mistral7b,math,topk_tail_mass,True,0.7902,False,False,2,0.7902
noise_gsm8k_mistral7b,math,mean_logprob_entropy,True,0.7902,False,False,2,0.7902
noise_gsm8k_mistral7b,math,renyi_entropy_2,True,0.7902,False,False,2,0.7902
noise_gsm8k_mistral7b,math,cusum_max,True,0.7902,False,False,2,0.7902
noise_gsm8k_mistral7b,math,rpdi,True,0.7902,False,False,2,0.7902
noise_gsm8k_mistral7b,math,stft_max_high_power,True,0.7902,False,False,2,0.7902
noise_gsm8k_mistral7b,math,spectral_entropy,True,0.7902,False,False,2,0.7902
noise_gsm8k_mistral7b,math,low_band_power,True,0.7902,False,False,2,0.7902
noise_gsm8k_phi3mini,math,epr,True,0.6801,False,False,2,0.6801
noise_gsm8k_phi3mini,math,topk_tail_mass,True,0.6801,False,False,2,0.6801
noise_gsm8k_phi3mini,math,mean_logprob_entropy,True,0.6801,False,False,2,0.6801
noise_gsm8k_phi3mini,math,renyi_entropy_2,True,0.6801,False,False,2,0.6801
noise_gsm8k_phi3mini,math,cusum_max,True,0.6801,False,False,2,0.6801
noise_gsm8k_phi3mini,math,rpdi,True,0.3199,True,True,2,0.6801
noise_gsm8k_phi3mini,math,stft_max_high_power,True,0.6801,False,False,2,0.6801
noise_gsm8k_phi3mini,math,spectral_entropy,True,0.6801,False,False,2,0.6801
noise_gsm8k_phi3mini,math,low_band_power,True,0.6801,False,False,2,0.6801
sciq_llama8b,QA,epr,True,0.7477,False,False,2,0.7477
sciq_llama8b,QA,topk_tail_mass,True,0.7477,False,False,2,0.7477
sciq_llama8b,QA,mean_logprob_entropy,True,0.7477,False,False,2,0.7477
sciq_llama8b,QA,renyi_entropy_2,True,0.7477,False,False,2,0.7477
sciq_llama8b,QA,cusum_max,True,0.7477,False,False,2,0.7477
sciq_llama8b,QA,rpdi,True,0.2523,True,True,2,0.7477
sciq_llama8b,QA,stft_max_high_power,True,0.7477,False,False,2,0.7477
sciq_llama8b,QA,spectral_entropy,True,0.7477,False,False,2,0.7477
sciq_llama8b,QA,low_band_power,True,0.7477,False,False,2,0.7477
se_nq_open_llama8b,QA,epr,True,0.7303,False,False,2,0.7303
se_nq_open_llama8b,QA,topk_tail_mass,True,0.7303,False,False,2,0.7303
se_nq_open_llama8b,QA,mean_logprob_entropy,True,0.7303,False,False,2,0.7303
se_nq_open_llama8b,QA,renyi_entropy_2,True,0.7303,False,False,2,0.7303
se_nq_open_llama8b,QA,cusum_max,True,0.7303,False,False,2,0.7303
se_nq_open_llama8b,QA,rpdi,True,0.7303,False,False,2,0.7303
se_nq_open_llama8b,QA,stft_max_high_power,False,,,,2,0.7303111911630826
se_nq_open_llama8b,QA,spectral_entropy,True,0.7303,False,False,2,0.7303
se_nq_open_llama8b,QA,low_band_power,True,0.7303,False,False,2,0.7303
se_squad_v2_llama8b,QA,epr,True,0.811,False,False,2,0.811
se_squad_v2_llama8b,QA,topk_tail_mass,True,0.811,False,False,2,0.811
se_squad_v2_llama8b,QA,mean_logprob_entropy,True,0.811,False,False,2,0.811
se_squad_v2_llama8b,QA,renyi_entropy_2,True,0.811,False,False,2,0.811
se_squad_v2_llama8b,QA,cusum_max,True,0.811,False,False,2,0.811
se_squad_v2_llama8b,QA,rpdi,True,0.811,False,False,2,0.811
se_squad_v2_llama8b,QA,stft_max_high_power,False,,,,2,0.8110489074602057
se_squad_v2_llama8b,QA,spectral_entropy,True,0.811,False,False,2,0.811
se_squad_v2_llama8b,QA,low_band_power,True,0.811,False,False,2,0.811
seiclr_triviaqa_opt30b,QA,epr,True,0.5884,False,False,2,0.5884
seiclr_triviaqa_opt30b,QA,topk_tail_mass,True,0.5884,False,False,2,0.5884
seiclr_triviaqa_opt30b,QA,mean_logprob_entropy,True,0.5884,False,False,2,0.5884
seiclr_triviaqa_opt30b,QA,renyi_entropy_2,True,0.5884,False,False,2,0.5884
seiclr_triviaqa_opt30b,QA,cusum_max,True,0.5884,False,False,2,0.5884
seiclr_triviaqa_opt30b,QA,rpdi,True,0.5884,False,False,2,0.5884
seiclr_triviaqa_opt30b,QA,stft_max_high_power,True,0.5884,False,False,2,0.5884
seiclr_triviaqa_opt30b,QA,spectral_entropy,True,0.5884,False,False,2,0.5884
seiclr_triviaqa_opt30b,QA,low_band_power,True,0.5884,False,False,2,0.5884
semenergy_triviaqa_qwen3_8b,QA,epr,True,0.816,False,False,3,0.816
semenergy_triviaqa_qwen3_8b,QA,topk_tail_mass,True,0.816,False,False,3,0.816
semenergy_triviaqa_qwen3_8b,QA,mean_logprob_entropy,True,0.816,False,False,3,0.816
semenergy_triviaqa_qwen3_8b,QA,renyi_entropy_2,True,0.816,False,False,3,0.816
semenergy_triviaqa_qwen3_8b,QA,cusum_max,True,0.816,False,False,3,0.816
semenergy_triviaqa_qwen3_8b,QA,rpdi,True,0.184,True,True,3,0.816
semenergy_triviaqa_qwen3_8b,QA,stft_max_high_power,False,,,,3,0.8159613899549709
semenergy_triviaqa_qwen3_8b,QA,spectral_entropy,True,0.816,False,False,3,0.816
semenergy_triviaqa_qwen3_8b,QA,low_band_power,True,0.816,False,False,3,0.816
spilled_triviaqa_llama8b,QA,epr,True,0.942,False,False,2,0.942
spilled_triviaqa_llama8b,QA,topk_tail_mass,True,0.942,False,False,2,0.942
spilled_triviaqa_llama8b,QA,mean_logprob_entropy,True,0.942,False,False,2,0.942
spilled_triviaqa_llama8b,QA,renyi_entropy_2,True,0.942,False,False,2,0.942
spilled_triviaqa_llama8b,QA,cusum_max,True,0.942,False,False,2,0.942
spilled_triviaqa_llama8b,QA,rpdi,True,0.942,False,False,2,0.942
spilled_triviaqa_llama8b,QA,stft_max_high_power,False,,,,2,0.942
spilled_triviaqa_llama8b,QA,spectral_entropy,True,0.942,False,False,2,0.942
spilled_triviaqa_llama8b,QA,low_band_power,True,0.942,False,False,2,0.942
trace_gsm8k_llama8b_k10,math,epr,True,0.8093,False,False,2,0.8093
trace_gsm8k_llama8b_k10,math,topk_tail_mass,True,0.8093,False,False,2,0.8093
trace_gsm8k_llama8b_k10,math,mean_logprob_entropy,True,0.8093,False,False,2,0.8093
trace_gsm8k_llama8b_k10,math,renyi_entropy_2,True,0.8093,False,False,2,0.8093
trace_gsm8k_llama8b_k10,math,cusum_max,True,0.8093,False,False,2,0.8093
trace_gsm8k_llama8b_k10,math,rpdi,True,0.8093,False,False,2,0.8093
trace_gsm8k_llama8b_k10,math,stft_max_high_power,True,0.8093,False,False,2,0.8093
trace_gsm8k_llama8b_k10,math,spectral_entropy,True,0.8093,False,False,2,0.8093
trace_gsm8k_llama8b_k10,math,low_band_power,True,0.8093,False,False,2,0.8093
trace_math500_qwenmath15b_k10,math,epr,True,0.676,False,False,2,0.676
trace_math500_qwenmath15b_k10,math,topk_tail_mass,True,0.676,False,False,2,0.676
trace_math500_qwenmath15b_k10,math,mean_logprob_entropy,True,0.676,False,False,2,0.676
trace_math500_qwenmath15b_k10,math,renyi_entropy_2,True,0.676,False,False,2,0.676
trace_math500_qwenmath15b_k10,math,cusum_max,True,0.676,False,False,2,0.676
trace_math500_qwenmath15b_k10,math,rpdi,True,0.676,False,False,2,0.676
trace_math500_qwenmath15b_k10,math,stft_max_high_power,True,0.324,True,True,2,0.676
trace_math500_qwenmath15b_k10,math,spectral_entropy,True,0.324,True,True,2,0.676
trace_math500_qwenmath15b_k10,math,low_band_power,True,0.676,False,False,2,0.676
truthfulqa_llama8b,QA,epr,True,0.6572,False,False,2,0.6572
truthfulqa_llama8b,QA,topk_tail_mass,True,0.6572,False,False,2,0.6572
truthfulqa_llama8b,QA,mean_logprob_entropy,True,0.6572,False,False,2,0.6572
truthfulqa_llama8b,QA,renyi_entropy_2,True,0.6572,False,False,2,0.6572
truthfulqa_llama8b,QA,cusum_max,True,0.6572,False,False,2,0.6572
truthfulqa_llama8b,QA,rpdi,True,0.3428,True,True,2,0.6572
truthfulqa_llama8b,QA,stft_max_high_power,True,0.6572,False,False,2,0.6572
truthfulqa_llama8b,QA,spectral_entropy,True,0.6572,False,False,2,0.6572
truthfulqa_llama8b,QA,low_band_power,True,0.6572,False,False,2,0.6572
