domain,cell,src,subset,auroc,acc,valid_rate,n
MCQ-Science,gpqa__DeepSeek-R1-Distill-Llama-8B_T1.0,old,consensus_4,0.565833330154419,,,
MCQ-Science,gpqa__DeepSeek-R1-Distill-Llama-8B_T1.0,old,GOOD_5,0.5525000095367432,,,
MCQ-Science,gpqa__DeepSeek-R1-Distill-Llama-8B_T1.0,old,top_macro_5,0.5640277862548828,,,
MCQ-Science,gpqa__DeepSeek-R1-Distill-Llama-8B_T1.0,old,STABLE_H9,0.5515277981758118,,,
MCQ-Science,gpqa__DeepSeek-R1-Distill-Llama-8B_T1.0,old,ALL_H16,,,,
MCQ-Science,gpqa__Llama-8B_T1.0,old,consensus_4,0.5129473209381104,,,
MCQ-Science,gpqa__Llama-8B_T1.0,old,GOOD_5,0.5327261090278625,,,
MCQ-Science,gpqa__Llama-8B_T1.0,old,top_macro_5,0.5319453477859497,,,
MCQ-Science,gpqa__Llama-8B_T1.0,old,STABLE_H9,0.5500325560569763,,,
MCQ-Science,gpqa__Llama-8B_T1.0,old,ALL_H16,0.5458685755729675,,,
MCQ-Science,gpqa__Mistral-7B_T1.0,old,consensus_4,0.41108107566833496,,,
MCQ-Science,gpqa__Mistral-7B_T1.0,old,GOOD_5,0.41770270466804504,,,
MCQ-Science,gpqa__Mistral-7B_T1.0,old,top_macro_5,0.41999998688697815,,,
MCQ-Science,gpqa__Mistral-7B_T1.0,old,STABLE_H9,0.444459468126297,,,
MCQ-Science,gpqa__Mistral-7B_T1.0,old,ALL_H16,0.4416216313838959,,,
MCQ-Science,gpqa__Qwen-7B_T1.0,old,consensus_4,0.571618378162384,,,
MCQ-Science,gpqa__Qwen-7B_T1.0,old,GOOD_5,0.5234299302101135,,,
MCQ-Science,gpqa__Qwen-7B_T1.0,old,top_macro_5,0.5263285040855408,,,
MCQ-Science,gpqa__Qwen-7B_T1.0,old,STABLE_H9,0.5741546154022217,,,
MCQ-Science,gpqa__Qwen-7B_T1.0,old,ALL_H16,0.43586957454681396,,,
MCQ-Science,gpqa__Qwen2.5-72B-Instruct-AWQ_T1.0,old,consensus_4,0.6508474349975586,,,
MCQ-Science,gpqa__Qwen2.5-72B-Instruct-AWQ_T1.0,old,GOOD_5,0.5018008351325989,,,
MCQ-Science,gpqa__Qwen2.5-72B-Instruct-AWQ_T1.0,old,top_macro_5,0.5056143999099731,,,
MCQ-Science,gpqa__Qwen2.5-72B-Instruct-AWQ_T1.0,old,STABLE_H9,0.5440678000450134,,,
MCQ-Science,gpqa__Qwen2.5-72B-Instruct-AWQ_T1.0,old,ALL_H16,0.3931144177913666,,,
Reasoning-Math,gsm8k__Llama-8B_T1.0,old,consensus_4,0.748579204082489,,,
Reasoning-Math,gsm8k__Llama-8B_T1.0,old,GOOD_5,0.7563292980194092,,,
Reasoning-Math,gsm8k__Llama-8B_T1.0,old,top_macro_5,0.7529423236846924,,,
Reasoning-Math,gsm8k__Llama-8B_T1.0,old,STABLE_H9,0.7328671216964722,,,
Reasoning-Math,gsm8k__Llama-8B_T1.0,old,ALL_H16,0.7381820678710938,,,
Reasoning-Math,math500__DeepSeek-R1-Distill-Llama-8B_T1.0,old,consensus_4,0.8287630081176758,,,
Reasoning-Math,math500__DeepSeek-R1-Distill-Llama-8B_T1.0,old,GOOD_5,0.8439208269119263,,,
Reasoning-Math,math500__DeepSeek-R1-Distill-Llama-8B_T1.0,old,top_macro_5,0.8447476029396057,,,
Reasoning-Math,math500__DeepSeek-R1-Distill-Llama-8B_T1.0,old,STABLE_H9,0.8207248449325562,,,
Reasoning-Math,math500__DeepSeek-R1-Distill-Llama-8B_T1.0,old,ALL_H16,,,,
Reasoning-Math,math500__Qwen-Math-7B_T1.0,old,consensus_4,0.9264219403266907,,,
Reasoning-Math,math500__Qwen-Math-7B_T1.0,old,GOOD_5,0.9443893432617188,,,
Reasoning-Math,math500__Qwen-Math-7B_T1.0,old,top_macro_5,0.9458222985267639,,,
Reasoning-Math,math500__Qwen-Math-7B_T1.0,old,STABLE_H9,0.9441137313842773,,,
Reasoning-Math,math500__Qwen-Math-7B_T1.0,old,ALL_H16,,,,
Reasoning-Math,math500__Qwen2.5-Math-1.5B-Instruct_T1.0,old,consensus_4,0.8517401218414307,,,
Reasoning-Math,math500__Qwen2.5-Math-1.5B-Instruct_T1.0,old,GOOD_5,0.8667327165603638,,,
Reasoning-Math,math500__Qwen2.5-Math-1.5B-Instruct_T1.0,old,top_macro_5,0.8662824630737305,,,
Reasoning-Math,math500__Qwen2.5-Math-1.5B-Instruct_T1.0,old,STABLE_H9,0.8602043986320496,,,
Reasoning-Math,math500__Qwen2.5-Math-1.5B-Instruct_T1.0,old,ALL_H16,0.8666876554489136,,,
Reasoning-Math,math500__deepseek-math-7b-instruct_T1.0,old,consensus_4,0.6735354065895081,,,
Reasoning-Math,math500__deepseek-math-7b-instruct_T1.0,old,GOOD_5,0.7156621217727661,,,
Reasoning-Math,math500__deepseek-math-7b-instruct_T1.0,old,top_macro_5,0.7127786874771118,,,
Reasoning-Math,math500__deepseek-math-7b-instruct_T1.0,old,STABLE_H9,0.6762079000473022,,,
Reasoning-Math,math500__deepseek-math-7b-instruct_T1.0,old,ALL_H16,0.6996272802352905,,,
Short-QA,qa__spectral_phase9_cache_trivia_qa_cot_traces_T1.0,old,consensus_4,0.608025074005127,,,
Short-QA,qa__spectral_phase9_cache_trivia_qa_cot_traces_T1.0,old,GOOD_5,0.6549096703529358,,,
Short-QA,qa__spectral_phase9_cache_trivia_qa_cot_traces_T1.0,old,top_macro_5,0.6598869562149048,,,
Short-QA,qa__spectral_phase9_cache_trivia_qa_cot_traces_T1.0,old,STABLE_H9,0.5876858830451965,,,
Short-QA,qa__spectral_phase9_cache_trivia_qa_cot_traces_T1.0,old,ALL_H16,0.5745975375175476,,,
Short-QA,qa__spectral_phase9_cache_trivia_qa_traces_T1.0,old,consensus_4,0.9599999785423279,,,
Short-QA,qa__spectral_phase9_cache_trivia_qa_traces_T1.0,old,GOOD_5,0.9599999785423279,,,
Short-QA,qa__spectral_phase9_cache_trivia_qa_traces_T1.0,old,top_macro_5,0.9599999785423279,,,
Short-QA,qa__spectral_phase9_cache_trivia_qa_traces_T1.0,old,STABLE_H9,0.8999999761581421,,,
Short-QA,qa__spectral_phase9_cache_trivia_qa_traces_T1.0,old,ALL_H16,,,,
Short-QA,qa__spectral_phase9_cache_webq_cot_traces_T1.0,old,consensus_4,0.6380143761634827,,,
Short-QA,qa__spectral_phase9_cache_webq_cot_traces_T1.0,old,GOOD_5,0.6358919739723206,,,
Short-QA,qa__spectral_phase9_cache_webq_cot_traces_T1.0,old,top_macro_5,0.6490979790687561,,,
Short-QA,qa__spectral_phase9_cache_webq_cot_traces_T1.0,old,STABLE_H9,0.5754038691520691,,,
Short-QA,qa__spectral_phase9_cache_webq_cot_traces_T1.0,old,ALL_H16,0.6211531758308411,,,
RAG,rag__Llama-8B_2wikimultihopqa,old,consensus_4,0.5135135054588318,,,
RAG,rag__Llama-8B_2wikimultihopqa,old,GOOD_5,0.5945945978164673,,,
RAG,rag__Llama-8B_2wikimultihopqa,old,top_macro_5,0.5799999833106995,,,
RAG,rag__Llama-8B_2wikimultihopqa,old,STABLE_H9,0.5794594883918762,,,
RAG,rag__Llama-8B_2wikimultihopqa,old,ALL_H16,,,,
RAG,rag__Llama-8B_hotpotqa,old,consensus_4,0.7548491358757019,,,
RAG,rag__Llama-8B_hotpotqa,old,GOOD_5,0.7758620977401733,,,
RAG,rag__Llama-8B_hotpotqa,old,top_macro_5,0.7790948152542114,,,
RAG,rag__Llama-8B_hotpotqa,old,STABLE_H9,0.8103448152542114,,,
RAG,rag__Llama-8B_hotpotqa,old,ALL_H16,,,,
RAG,rag__Llama-8B_narrativeqa,old,consensus_4,0.5280231237411499,,,
RAG,rag__Llama-8B_narrativeqa,old,GOOD_5,0.572875440120697,,,
RAG,rag__Llama-8B_narrativeqa,old,top_macro_5,0.5906563997268677,,,
RAG,rag__Llama-8B_narrativeqa,old,STABLE_H9,0.5827748775482178,,,
RAG,rag__Llama-8B_narrativeqa,old,ALL_H16,,,,
RAG,rag__Llama-8B_natural-questions,old,consensus_4,0.5663716793060303,,,
RAG,rag__Llama-8B_natural-questions,old,GOOD_5,0.633849561214447,,,
RAG,rag__Llama-8B_natural-questions,old,top_macro_5,0.5719026327133179,,,
RAG,rag__Llama-8B_natural-questions,old,STABLE_H9,0.607300877571106,,,
RAG,rag__Llama-8B_natural-questions,old,ALL_H16,,,,
RAG,rag__Mistral-24B_2wikimultihopqa,old,consensus_4,0.49791666865348816,,,
RAG,rag__Mistral-24B_2wikimultihopqa,old,GOOD_5,0.4625000059604645,,,
RAG,rag__Mistral-24B_2wikimultihopqa,old,top_macro_5,0.5249999761581421,,,
RAG,rag__Mistral-24B_2wikimultihopqa,old,STABLE_H9,0.41458332538604736,,,
RAG,rag__Mistral-24B_2wikimultihopqa,old,ALL_H16,0.4229166805744171,,,
RAG,rag__Mistral-24B_hotpotqa,old,consensus_4,0.6289682388305664,,,
RAG,rag__Mistral-24B_hotpotqa,old,GOOD_5,0.6051587462425232,,,
RAG,rag__Mistral-24B_hotpotqa,old,top_macro_5,0.6230158805847168,,,
RAG,rag__Mistral-24B_hotpotqa,old,STABLE_H9,0.60317462682724,,,
RAG,rag__Mistral-24B_hotpotqa,old,ALL_H16,0.6309523582458496,,,
RAG,rag__Mistral-24B_narrativeqa,old,consensus_4,0.6033737063407898,,,
RAG,rag__Mistral-24B_narrativeqa,old,GOOD_5,0.6157727837562561,,,
RAG,rag__Mistral-24B_narrativeqa,old,top_macro_5,0.6199538707733154,,,
RAG,rag__Mistral-24B_narrativeqa,old,STABLE_H9,0.5285466909408569,,,
RAG,rag__Mistral-24B_narrativeqa,old,ALL_H16,,,,
RAG,rag__Mistral-24B_natural-questions,old,consensus_4,0.6857143044471741,,,
RAG,rag__Mistral-24B_natural-questions,old,GOOD_5,0.37460318207740784,,,
RAG,rag__Mistral-24B_natural-questions,old,top_macro_5,0.41904762387275696,,,
RAG,rag__Mistral-24B_natural-questions,old,STABLE_H9,0.3968254029750824,,,
RAG,rag__Mistral-24B_natural-questions,old,ALL_H16,0.40317460894584656,,,
RAG,rag__Qwen-72B_2wikimultihopqa,old,consensus_4,0.5408695936203003,,,
RAG,rag__Qwen-72B_2wikimultihopqa,old,GOOD_5,0.5339130163192749,,,
RAG,rag__Qwen-72B_2wikimultihopqa,old,top_macro_5,0.5100620985031128,,,
RAG,rag__Qwen-72B_2wikimultihopqa,old,STABLE_H9,,,,
RAG,rag__Qwen-72B_2wikimultihopqa,old,ALL_H16,,,,
RAG,rag__Qwen-72B_hotpotqa,old,consensus_4,0.736148476600647,,,
RAG,rag__Qwen-72B_hotpotqa,old,GOOD_5,0.7178590893745422,,,
RAG,rag__Qwen-72B_hotpotqa,old,top_macro_5,0.7135556936264038,,,
RAG,rag__Qwen-72B_hotpotqa,old,STABLE_H9,,,,
RAG,rag__Qwen-72B_hotpotqa,old,ALL_H16,,,,
RAG,rag__Qwen-72B_narrativeqa,old,consensus_4,0.5856706500053406,,,
RAG,rag__Qwen-72B_narrativeqa,old,GOOD_5,0.6031103730201721,,,
RAG,rag__Qwen-72B_narrativeqa,old,top_macro_5,0.6220784187316895,,,
RAG,rag__Qwen-72B_narrativeqa,old,STABLE_H9,0.6363717913627625,,,
RAG,rag__Qwen-72B_narrativeqa,old,ALL_H16,,,,
RAG,rag__Qwen-72B_natural-questions,old,consensus_4,0.6089078783988953,,,
RAG,rag__Qwen-72B_natural-questions,old,GOOD_5,0.6494814157485962,,,
RAG,rag__Qwen-72B_natural-questions,old,top_macro_5,0.652226984500885,,,
RAG,rag__Qwen-72B_natural-questions,old,STABLE_H9,,,,
RAG,rag__Qwen-72B_natural-questions,old,ALL_H16,,,,
RAG,rag__Qwen-7B_2wikimultihopqa,old,consensus_4,0.574237585067749,,,
RAG,rag__Qwen-7B_2wikimultihopqa,old,GOOD_5,0.5108346939086914,,,
RAG,rag__Qwen-7B_2wikimultihopqa,old,top_macro_5,0.5433386564254761,,,
RAG,rag__Qwen-7B_2wikimultihopqa,old,STABLE_H9,0.4349919855594635,,,
RAG,rag__Qwen-7B_2wikimultihopqa,old,ALL_H16,0.555377185344696,,,
RAG,rag__Qwen-7B_hotpotqa,old,consensus_4,0.6699134111404419,,,
RAG,rag__Qwen-7B_hotpotqa,old,GOOD_5,0.6253246665000916,,,
RAG,rag__Qwen-7B_hotpotqa,old,top_macro_5,0.61753249168396,,,
RAG,rag__Qwen-7B_hotpotqa,old,STABLE_H9,0.5240259766578674,,,
RAG,rag__Qwen-7B_hotpotqa,old,ALL_H16,0.694372296333313,,,
RAG,rag__Qwen-7B_narrativeqa,old,consensus_4,0.6632159948348999,,,
RAG,rag__Qwen-7B_narrativeqa,old,GOOD_5,0.6495859026908875,,,
RAG,rag__Qwen-7B_narrativeqa,old,top_macro_5,0.6651138663291931,,,
RAG,rag__Qwen-7B_narrativeqa,old,STABLE_H9,0.60317462682724,,,
RAG,rag__Qwen-7B_narrativeqa,old,ALL_H16,0.6285369396209717,,,
RAG,rag__Qwen-7B_natural-questions,old,consensus_4,0.6096838116645813,,,
RAG,rag__Qwen-7B_natural-questions,old,GOOD_5,0.6136363744735718,,,
RAG,rag__Qwen-7B_natural-questions,old,top_macro_5,0.5978260636329651,,,
RAG,rag__Qwen-7B_natural-questions,old,STABLE_H9,0.5671936869621277,,,
RAG,rag__Qwen-7B_natural-questions,old,ALL_H16,0.6422924995422363,,,
Short-QA,epr_triviaqa_mistral24b,new,consensus_4,0.670758051846033,0.786,0.621,621
Short-QA,epr_triviaqa_mistral24b,new,GOOD_5,0.7072999663337448,0.786,0.621,621
Short-QA,epr_triviaqa_mistral24b,new,top_macro_5,0.7031758500729435,0.786,0.621,621
Short-QA,epr_triviaqa_mistral24b,new,STABLE_H9,0.6789080911233307,0.786,0.621,621
Short-QA,epr_triviaqa_mistral24b,new,ALL_H16,0.6678122545168894,0.786,0.621,621
Short-QA,inside_coqa_llama7b,new,consensus_4,0.4729147141518275,0.183,0.83,249
Short-QA,inside_coqa_llama7b,new,GOOD_5,0.5332708528584816,0.183,0.83,249
Short-QA,inside_coqa_llama7b,new,top_macro_5,0.5786316776007497,0.183,0.83,249
Short-QA,inside_coqa_llama7b,new,STABLE_H9,0.5239925023430179,0.183,0.83,249
Short-QA,inside_coqa_llama7b,new,ALL_H16,0.5477038425492033,0.183,0.83,249
Reasoning-Math,lapeigvals_gsm8k_llama8b,new,consensus_4,0.7633717671550965,0.724,1.0,500
Reasoning-Math,lapeigvals_gsm8k_llama8b,new,GOOD_5,0.8152374089198494,0.724,1.0,500
Reasoning-Math,lapeigvals_gsm8k_llama8b,new,top_macro_5,0.8088317719593243,0.724,1.0,500
Reasoning-Math,lapeigvals_gsm8k_llama8b,new,STABLE_H9,0.804828248858996,0.724,1.0,500
Reasoning-Math,lapeigvals_gsm8k_llama8b,new,ALL_H16,0.7944991592601489,0.724,1.0,500
Short-QA,losnet_hotpotqa_mistral7b,new,consensus_4,0.5787554300219883,0.338,1.0,500
Short-QA,losnet_hotpotqa_mistral7b,new,GOOD_5,0.5753946262893509,0.338,1.0,500
Short-QA,losnet_hotpotqa_mistral7b,new,top_macro_5,0.5707288296179768,0.338,1.0,500
Short-QA,losnet_hotpotqa_mistral7b,new,STABLE_H9,0.5229446361214894,0.338,1.0,500
Short-QA,losnet_hotpotqa_mistral7b,new,ALL_H16,0.5433597311357015,0.338,1.0,500
MCQ-Science,sciq_llama8b,new,consensus_4,,0.9,0.2,6
MCQ-Science,sciq_llama8b,new,GOOD_5,,0.9,0.2,6
MCQ-Science,sciq_llama8b,new,top_macro_5,,0.9,0.2,6
MCQ-Science,sciq_llama8b,new,STABLE_H9,,0.9,0.2,6
MCQ-Science,sciq_llama8b,new,ALL_H16,,0.9,0.2,6
Short-QA,se_nq_open_llama8b,new,consensus_4,,0.067,0.86,258
Short-QA,se_nq_open_llama8b,new,GOOD_5,,0.067,0.86,258
Short-QA,se_nq_open_llama8b,new,top_macro_5,,0.067,0.86,258
Short-QA,se_nq_open_llama8b,new,STABLE_H9,,0.067,0.86,258
Short-QA,se_nq_open_llama8b,new,ALL_H16,,0.067,0.86,258
Short-QA,se_squad_v2_llama8b,new,consensus_4,0.7640090958410768,0.606,0.293,2933
Short-QA,se_squad_v2_llama8b,new,GOOD_5,0.7981837175210371,0.606,0.293,2933
Short-QA,se_squad_v2_llama8b,new,top_macro_5,0.8003595627532234,0.606,0.293,2933
Short-QA,se_squad_v2_llama8b,new,STABLE_H9,0.7489755635843154,0.606,0.293,2933
Short-QA,se_squad_v2_llama8b,new,ALL_H16,0.7659454249535396,0.606,0.293,2933
Short-QA,seiclr_triviaqa_opt30b,new,consensus_4,0.6304151294160979,0.465,0.999,4993
Short-QA,seiclr_triviaqa_opt30b,new,GOOD_5,0.5948012306390287,0.465,0.999,4993
Short-QA,seiclr_triviaqa_opt30b,new,top_macro_5,0.5971176289782658,0.465,0.999,4993
Short-QA,seiclr_triviaqa_opt30b,new,STABLE_H9,0.5328806325941307,0.465,0.999,4993
Short-QA,seiclr_triviaqa_opt30b,new,ALL_H16,0.5307937131491245,0.465,0.999,4993
Short-QA,semenergy_triviaqa_qwen3_8b,new,consensus_4,0.7443242036802901,0.493,0.878,4392
Short-QA,semenergy_triviaqa_qwen3_8b,new,GOOD_5,0.8005669977547853,0.493,0.878,4392
Short-QA,semenergy_triviaqa_qwen3_8b,new,top_macro_5,0.7991457627287712,0.493,0.878,4392
Short-QA,semenergy_triviaqa_qwen3_8b,new,STABLE_H9,0.737694752215913,0.493,0.878,4392
Short-QA,semenergy_triviaqa_qwen3_8b,new,ALL_H16,0.7144552008598481,0.493,0.878,4392
Short-QA,spilled_triviaqa_llama8b,new,consensus_4,0.962,0.32,0.512,256
Short-QA,spilled_triviaqa_llama8b,new,GOOD_5,0.9339999999999999,0.32,0.512,256
Short-QA,spilled_triviaqa_llama8b,new,top_macro_5,0.9453333333333334,0.32,0.512,256
Short-QA,spilled_triviaqa_llama8b,new,STABLE_H9,0.8966666666666666,0.32,0.512,256
Short-QA,spilled_triviaqa_llama8b,new,ALL_H16,0.9066666666666666,0.32,0.512,256
Short-QA,truthfulqa_llama8b,new,consensus_4,0.6641282702508539,0.222,0.934,7633
Short-QA,truthfulqa_llama8b,new,GOOD_5,0.6660166136975532,0.222,0.934,7633
Short-QA,truthfulqa_llama8b,new,top_macro_5,0.6786141885106061,0.222,0.934,7633
Short-QA,truthfulqa_llama8b,new,STABLE_H9,0.611280112995492,0.222,0.934,7633
Short-QA,truthfulqa_llama8b,new,ALL_H16,0.6513579291503684,0.222,0.934,7633
