domain,cell,n,pos_rate,good5_auroc,oracle_auroc,all16_auroc,epr_auroc,loco,random_median_s5
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,198,0.242,0.5525,0.6080555555555556,0.5574999999999999,0.5484722222222222,0.5606,0.5562
gpqa,Llama-8B_T1.0,198,0.268,0.532726089785296,0.572153545868575,0.5458685751463891,0.5113858165256995,0.5178,0.526
gpqa,Mistral-7B_T1.0,198,0.253,0.4177027027027026,0.6013513513513513,0.4416216216216216,0.4437837837837838,0.4099,0.4314
gpqa,Qwen-7B_T1.0,198,0.303,0.5234299516908212,0.5967391304347827,0.4358695652173913,0.4531400966183575,0.543,0.4548
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,198,0.404,0.5018008474576272,0.6603813559322034,0.393114406779661,0.4489406779661016,0.481,0.4219
gsm8k,Llama-8B_T1.0,1319,0.791,0.7563292898133867,0.7655001597954619,0.7381820834549168,0.7074735642725138,0.7428,0.7113
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,300,0.41,0.8439208120894768,0.8611455606081484,0.8267879288962381,0.8210922787193974,0.8447,0.8052
math500,Qwen-Math-7B_T1.5,300,0.28,0.9443893298059964,0.9584986772486772,0.9408619929453262,0.9662147266313932,0.9439,0.9386
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,300,0.443,0.8667327000135068,0.8862725676466615,0.8666876772770248,0.8558371977848813,0.8644,0.8583
math500,deepseek-math-7b-instruct_T1.5,300,0.197,0.7156621422040932,0.7475209227090512,0.6996272593009354,0.7079260144876574,0.7027,0.6912
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,285,0.277,0.6549096718692392,0.715128425709721,0.5745975175125968,0.6595182499692761,0.6509,0.5444
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,52,0.038,0.96,1.0,0.91,0.84,0.73,0.78
qa,spectral_phase9_cache_webq_cot_traces_T1.0,290,0.114,0.6358919938686476,0.672798019101521,0.6211531659002476,0.612545690366702,0.644,0.5896
rag,Llama-8B/2wikimultihopqa,99,0.253,0.5945945945945946,0.7183783783783783,0.5405405405405406,0.587027027027027,0.5578,0.5346
rag,Llama-8B/hotpotqa,93,0.312,0.7758620689655172,0.884698275862069,0.7306034482758621,0.8771551724137931,0.7791,0.6913
rag,Llama-8B/narrativeqa,459,0.146,0.5728754188242462,0.6513097776424002,0.534267438318611,0.6008604934511118,0.6028,0.5349
rag,Llama-8B/natural-questions,121,0.066,0.6338495575221239,0.7146017699115046,0.6371681415929203,0.4889380530973451,0.583,0.5841
rag,Mistral-24B/2wikimultihopqa,47,0.319,0.4625,0.7416666666666667,0.4229166666666666,0.5729166666666667,0.4979,0.4313
rag,Mistral-24B/hotpotqa,46,0.391,0.6051587301587302,0.7738095238095237,0.6309523809523809,0.5853174603174602,0.625,0.6171
rag,Mistral-24B/narrativeqa,238,0.143,0.6157727797001153,0.6734429065743945,0.5644463667820069,0.6597462514417531,0.5943,0.5622
rag,Mistral-24B/natural-questions,44,0.205,0.3746031746031746,0.7714285714285715,0.4031746031746032,0.4761904761904761,0.3587,0.3873
rag,Qwen-72B/2wikimultihopqa,198,0.116,0.5339130434782609,0.6680745341614907,0.5072049689440994,0.463975155279503,0.5101,0.5186
rag,Qwen-72B/hotpotqa,169,0.154,0.7178590640129101,0.7988165680473372,0.7598171059709521,0.6525013448090371,0.7136,0.7152
rag,Qwen-72B/narrativeqa,345,0.104,0.6031103919453433,0.674217907227616,0.6040093491549803,0.6496763754045307,0.5961,0.5907
rag,Qwen-72B/natural-questions,171,0.129,0.6494813910921293,0.692190359975595,0.6552776082977426,0.6253813300793167,0.6522,0.6095
rag,Qwen-7B/2wikimultihopqa,192,0.073,0.5108346709470305,0.7740770465489566,0.5553772070626003,0.5714285714285714,0.5433,0.5287
rag,Qwen-7B/hotpotqa,169,0.089,0.6253246753246754,0.7787878787878788,0.6943722943722943,0.5829004329004329,0.6335,0.5985
rag,Qwen-7B/narrativeqa,235,0.119,0.6495859213250518,0.7239475500345066,0.6285369220151829,0.6761559696342304,0.6663,0.6063
rag,Qwen-7B/natural-questions,103,0.107,0.6136363636363636,0.7598814229249011,0.6422924901185771,0.5849802371541503,0.6176,0.5919
repgrid,ars_gsm8k_r1distill8b,500,0.728,0.7500404007756949,0.7790279573367809,0.3643341952165481,0.6905704589528119,0.7536,0.5843
repgrid,epr_triviaqa_mistral24b,621,0.755,0.7072999663337448,0.7384412523846932,0.6732549657726405,0.7375014027606328,0.6939,0.6458
repgrid,inside_coqa_llama7b,4504,0.147,0.6840627757131781,0.7227483325496068,0.4607844447834477,0.5728389984446042,0.5792,0.4763
repgrid,internalstates_gsm8k_qwen25_7b,500,0.306,0.6282420749279539,0.7283343692904636,0.6797197265073176,0.6451187583582904,0.6872,0.6648
repgrid,lapeigvals_gsm8k_llama3b,1319,0.445,0.6845053574254569,0.7096098528220738,0.6483485538209475,0.7076875098909896,0.6797,0.6375
repgrid,lapeigvals_gsm8k_llama8b,500,0.724,0.8152374089198494,0.8278885419168869,0.7944991592601489,0.7844102810473216,0.7634,0.7706
repgrid,lapeigvals_gsm8k_mistral24b,1319,0.917,0.8006065660777921,0.8692546819319129,0.8079308514671317,0.8473121540677839,0.8151,0.7921
repgrid,lapeigvals_gsm8k_nemo,1319,0.829,0.7820434694292099,0.8140320942514727,0.7389315458054032,0.7656022750355475,0.7709,0.6984
repgrid,lapeigvals_gsm8k_phi35,1319,0.848,0.803166635516514,0.8175980562304754,0.7356998549292891,0.7702142240496977,0.7233,0.7063
repgrid,losnet_hotpotqa_mistral7b,500,0.338,0.5753946262893509,0.6107366953288403,0.5433597311357015,0.5598419707181037,0.5828,0.5367
repgrid,noise_gsm8k_mistral7b,1319,0.499,0.7850751141542013,0.8182729492479387,0.7200543525743899,0.7430875205201661,0.7909,0.7151
repgrid,noise_gsm8k_phi3mini,1319,0.71,0.6642509651648033,0.6935183325522751,0.5987982861351009,0.6682985204525674,0.6536,0.5898
repgrid,sciq_llama8b,198,0.662,0.7380653981998404,0.7608522274125556,0.7215449470206221,0.7388629372222855,0.7139,0.6937
repgrid,se_nq_open_llama8b,8460,0.485,0.718000813882429,0.7427706963169723,0.663779127411756,0.7416001599796389,0.7221,0.648
repgrid,se_squad_v2_llama8b,2933,0.28,0.7981837175210371,0.8180895270855216,0.7674032989738322,0.7463668578947975,0.7988,0.7395
repgrid,seiclr_triviaqa_opt30b,4993,0.464,0.5948012306390287,0.6325144662011293,0.529513759541597,0.5737086853326702,0.5729,0.5225
repgrid,semenergy_triviaqa_qwen3_8b,4392,0.477,0.8005669977547853,0.8093672667482957,0.7091162698679887,0.7813451005525339,0.7983,0.6982
repgrid,spilled_triviaqa_llama8b,256,0.023,0.934,0.9826666666666666,0.9066666666666666,0.8720000000000001,0.9453,0.888
repgrid,truthfulqa_llama8b,7633,0.106,0.6596214987602832,0.6878053101320576,0.655514348398802,0.6057253393461889,0.6714,0.6325
trace,gpqa_r1_7b_raw,150,0.287,0.4644642469028472,0.6087806998478592,0.4233862203868724,0.5031514888067812,,0.4477
trace,gsm8k_llama8b_raw,200,0.8,0.75390625,0.7982812499999998,0.7096875,0.7312500000000001,,0.6803
trace,math500_qwen1.5b_raw,400,0.207,0.6563414541446543,0.6938922883964883,0.669491847516248,0.6712401657101593,,0.6603
