cell,group,feature,oriented_auroc,n
ars_gsm8k_r1distill8b,math,epr,0.6906,500
ars_gsm8k_r1distill8b,math,trace_length,0.3178,500
ars_gsm8k_r1distill8b,math,spectral_entropy,0.6675,500
ars_gsm8k_r1distill8b,math,low_band_power,0.5755,500
ars_gsm8k_r1distill8b,math,high_band_power,0.4558,500
ars_gsm8k_r1distill8b,math,hl_ratio,0.4276,500
ars_gsm8k_r1distill8b,math,dominant_freq,0.3949,500
ars_gsm8k_r1distill8b,math,spectral_centroid,0.4054,500
ars_gsm8k_r1distill8b,math,stft_max_high_power,0.5968,500
ars_gsm8k_r1distill8b,math,stft_spectral_entropy,0.5252,500
ars_gsm8k_r1distill8b,math,rpdi,0.5948,500
ars_gsm8k_r1distill8b,math,sw_var_peak,0.6898,500
ars_gsm8k_r1distill8b,math,pe_mean,0.4889,500
ars_gsm8k_r1distill8b,math,hurst_exponent,0.4594,500
ars_gsm8k_r1distill8b,math,cusum_max,0.6965,500
ars_gsm8k_r1distill8b,math,cusum_shift_idx,0.5002,500
ars_gsm8k_r1distill8b,math,epr_spilled,0.3077,500
ars_gsm8k_r1distill8b,math,sw_var_peak_spilled,0.3261,500
ars_gsm8k_r1distill8b,math,cusum_max_spilled,0.3075,500
ars_gsm8k_r1distill8b,math,min_spilled,0.516,500
ars_gsm8k_r1distill8b,math,epr_energy,0.3007,500
ars_gsm8k_r1distill8b,math,min_energy,0.367,500
ars_gsm8k_r1distill8b,math,sw_var_peak_energy,0.6156,500
ars_gsm8k_r1distill8b,math,cusum_max_energy,0.5495,500
ars_gsm8k_r1distill8b,math,mean_top1_logprob,0.6923,500
ars_gsm8k_r1distill8b,math,logprob_margin,0.667,500
ars_gsm8k_r1distill8b,math,mean_logprob_entropy,0.6927,500
ars_gsm8k_r1distill8b,math,varentropy,0.7018,500
ars_gsm8k_r1distill8b,math,renyi_entropy_2,0.6897,500
ars_gsm8k_r1distill8b,math,topk_tail_mass,0.7198,500
epr_triviaqa_mistral24b,QA,epr,0.7375,621
epr_triviaqa_mistral24b,QA,trace_length,0.3973,621
epr_triviaqa_mistral24b,QA,spectral_entropy,0.5761,621
epr_triviaqa_mistral24b,QA,low_band_power,0.5442,621
epr_triviaqa_mistral24b,QA,high_band_power,0.4344,621
epr_triviaqa_mistral24b,QA,hl_ratio,0.4373,621
epr_triviaqa_mistral24b,QA,dominant_freq,0.428,621
epr_triviaqa_mistral24b,QA,spectral_centroid,0.411,621
epr_triviaqa_mistral24b,QA,rpdi,0.5072,621
epr_triviaqa_mistral24b,QA,sw_var_peak,0.7159,621
epr_triviaqa_mistral24b,QA,pe_mean,0.4889,621
epr_triviaqa_mistral24b,QA,hurst_exponent,0.4469,621
epr_triviaqa_mistral24b,QA,cusum_max,0.6746,621
epr_triviaqa_mistral24b,QA,cusum_shift_idx,0.4238,621
epr_triviaqa_mistral24b,QA,epr_spilled,0.2798,621
epr_triviaqa_mistral24b,QA,sw_var_peak_spilled,0.309,621
epr_triviaqa_mistral24b,QA,cusum_max_spilled,0.3245,621
epr_triviaqa_mistral24b,QA,min_spilled,0.4344,621
epr_triviaqa_mistral24b,QA,epr_energy,0.2711,621
epr_triviaqa_mistral24b,QA,min_energy,0.2646,621
epr_triviaqa_mistral24b,QA,sw_var_peak_energy,0.6831,621
epr_triviaqa_mistral24b,QA,cusum_max_energy,0.6478,621
epr_triviaqa_mistral24b,QA,mean_top1_logprob,0.7342,621
epr_triviaqa_mistral24b,QA,logprob_margin,0.7044,621
epr_triviaqa_mistral24b,QA,mean_logprob_entropy,0.7422,621
epr_triviaqa_mistral24b,QA,varentropy,0.7362,621
epr_triviaqa_mistral24b,QA,renyi_entropy_2,0.738,621
epr_triviaqa_mistral24b,QA,topk_tail_mass,0.7548,621
inside_coqa_llama7b,QA,epr,0.5728,4504
inside_coqa_llama7b,QA,spectral_entropy,0.3592,4504
inside_coqa_llama7b,QA,low_band_power,0.6075,4504
inside_coqa_llama7b,QA,high_band_power,0.538,4504
inside_coqa_llama7b,QA,hl_ratio,0.4763,4504
inside_coqa_llama7b,QA,dominant_freq,0.433,4504
inside_coqa_llama7b,QA,spectral_centroid,0.448,4504
inside_coqa_llama7b,QA,stft_max_high_power,0.5366,4504
inside_coqa_llama7b,QA,stft_spectral_entropy,0.4212,4504
inside_coqa_llama7b,QA,rpdi,0.438,4504
inside_coqa_llama7b,QA,sw_var_peak,0.6152,4504
inside_coqa_llama7b,QA,pe_mean,0.5221,4504
inside_coqa_llama7b,QA,hurst_exponent,0.4064,4504
inside_coqa_llama7b,QA,cusum_max,0.5363,4504
inside_coqa_llama7b,QA,cusum_shift_idx,0.597,4504
inside_coqa_llama7b,QA,epr_spilled,0.4274,4504
inside_coqa_llama7b,QA,sw_var_peak_spilled,0.4899,4504
inside_coqa_llama7b,QA,cusum_max_spilled,0.4736,4504
inside_coqa_llama7b,QA,epr_energy,0.3376,4504
inside_coqa_llama7b,QA,min_energy,0.3785,4504
inside_coqa_llama7b,QA,sw_var_peak_energy,0.6538,4504
inside_coqa_llama7b,QA,cusum_max_energy,0.5616,4504
inside_coqa_llama7b,QA,mean_top1_logprob,0.5757,4504
inside_coqa_llama7b,QA,mean_logprob_entropy,0.5728,4504
inside_coqa_llama7b,QA,varentropy,0.5598,4504
inside_coqa_llama7b,QA,renyi_entropy_2,0.5752,4504
inside_coqa_llama7b,QA,topk_tail_mass,0.6153,4504
internalstates_gsm8k_qwen25_7b,math,epr,0.6311,500
internalstates_gsm8k_qwen25_7b,math,trace_length,0.2926,500
internalstates_gsm8k_qwen25_7b,math,spectral_entropy,0.6743,500
internalstates_gsm8k_qwen25_7b,math,low_band_power,0.6393,500
internalstates_gsm8k_qwen25_7b,math,high_band_power,0.4121,500
internalstates_gsm8k_qwen25_7b,math,hl_ratio,0.3743,500
internalstates_gsm8k_qwen25_7b,math,dominant_freq,0.405,500
internalstates_gsm8k_qwen25_7b,math,spectral_centroid,0.3705,500
internalstates_gsm8k_qwen25_7b,math,stft_max_high_power,0.5322,500
internalstates_gsm8k_qwen25_7b,math,stft_spectral_entropy,0.473,500
internalstates_gsm8k_qwen25_7b,math,rpdi,0.5097,500
internalstates_gsm8k_qwen25_7b,math,sw_var_peak,0.6913,500
internalstates_gsm8k_qwen25_7b,math,pe_mean,0.5105,500
internalstates_gsm8k_qwen25_7b,math,hurst_exponent,0.4087,500
internalstates_gsm8k_qwen25_7b,math,cusum_max,0.6809,500
internalstates_gsm8k_qwen25_7b,math,cusum_shift_idx,0.4934,500
internalstates_gsm8k_qwen25_7b,math,epr_spilled,0.362,500
internalstates_gsm8k_qwen25_7b,math,sw_var_peak_spilled,0.3434,500
internalstates_gsm8k_qwen25_7b,math,cusum_max_spilled,0.3133,500
internalstates_gsm8k_qwen25_7b,math,epr_energy,0.2539,500
internalstates_gsm8k_qwen25_7b,math,min_energy,0.3854,500
internalstates_gsm8k_qwen25_7b,math,sw_var_peak_energy,0.5368,500
internalstates_gsm8k_qwen25_7b,math,cusum_max_energy,0.654,500
internalstates_gsm8k_qwen25_7b,math,mean_top1_logprob,0.6243,500
internalstates_gsm8k_qwen25_7b,math,logprob_margin,0.698,500
internalstates_gsm8k_qwen25_7b,math,mean_logprob_entropy,0.6317,500
internalstates_gsm8k_qwen25_7b,math,varentropy,0.6511,500
internalstates_gsm8k_qwen25_7b,math,renyi_entropy_2,0.6252,500
internalstates_gsm8k_qwen25_7b,math,topk_tail_mass,0.6846,500
lapeigvals_gsm8k_llama3b,math,epr,0.7077,1319
lapeigvals_gsm8k_llama3b,math,trace_length,0.3842,1319
lapeigvals_gsm8k_llama3b,math,spectral_entropy,0.5561,1319
lapeigvals_gsm8k_llama3b,math,low_band_power,0.6259,1319
lapeigvals_gsm8k_llama3b,math,high_band_power,0.4082,1319
lapeigvals_gsm8k_llama3b,math,hl_ratio,0.3817,1319
lapeigvals_gsm8k_llama3b,math,dominant_freq,0.4224,1319
lapeigvals_gsm8k_llama3b,math,spectral_centroid,0.3824,1319
lapeigvals_gsm8k_llama3b,math,stft_max_high_power,0.5317,1319
lapeigvals_gsm8k_llama3b,math,stft_spectral_entropy,0.4846,1319
lapeigvals_gsm8k_llama3b,math,rpdi,0.5881,1319
lapeigvals_gsm8k_llama3b,math,sw_var_peak,0.6796,1319
lapeigvals_gsm8k_llama3b,math,pe_mean,0.4652,1319
lapeigvals_gsm8k_llama3b,math,hurst_exponent,0.4295,1319
lapeigvals_gsm8k_llama3b,math,cusum_max,0.6443,1319
lapeigvals_gsm8k_llama3b,math,cusum_shift_idx,0.4124,1319
lapeigvals_gsm8k_llama3b,math,epr_spilled,0.3103,1319
lapeigvals_gsm8k_llama3b,math,sw_var_peak_spilled,0.367,1319
lapeigvals_gsm8k_llama3b,math,cusum_max_spilled,0.3565,1319
lapeigvals_gsm8k_llama3b,math,min_spilled,0.3706,1319
lapeigvals_gsm8k_llama3b,math,epr_energy,0.292,1319
lapeigvals_gsm8k_llama3b,math,min_energy,0.4739,1319
lapeigvals_gsm8k_llama3b,math,sw_var_peak_energy,0.4239,1319
lapeigvals_gsm8k_llama3b,math,cusum_max_energy,0.6358,1319
lapeigvals_gsm8k_llama3b,math,mean_top1_logprob,0.7024,1319
lapeigvals_gsm8k_llama3b,math,logprob_margin,0.7079,1319
lapeigvals_gsm8k_llama3b,math,mean_logprob_entropy,0.7081,1319
lapeigvals_gsm8k_llama3b,math,varentropy,0.7107,1319
lapeigvals_gsm8k_llama3b,math,renyi_entropy_2,0.705,1319
lapeigvals_gsm8k_llama3b,math,topk_tail_mass,0.6976,1319
lapeigvals_gsm8k_llama8b,math,epr,0.7844,500
lapeigvals_gsm8k_llama8b,math,trace_length,0.2663,500
lapeigvals_gsm8k_llama8b,math,spectral_entropy,0.5952,500
lapeigvals_gsm8k_llama8b,math,low_band_power,0.7504,500
lapeigvals_gsm8k_llama8b,math,high_band_power,0.2829,500
lapeigvals_gsm8k_llama8b,math,hl_ratio,0.2456,500
lapeigvals_gsm8k_llama8b,math,dominant_freq,0.3205,500
lapeigvals_gsm8k_llama8b,math,spectral_centroid,0.2378,500
lapeigvals_gsm8k_llama8b,math,stft_max_high_power,0.5046,500
lapeigvals_gsm8k_llama8b,math,stft_spectral_entropy,0.3472,500
lapeigvals_gsm8k_llama8b,math,rpdi,0.718,500
lapeigvals_gsm8k_llama8b,math,sw_var_peak,0.7934,500
lapeigvals_gsm8k_llama8b,math,pe_mean,0.4502,500
lapeigvals_gsm8k_llama8b,math,hurst_exponent,0.3196,500
lapeigvals_gsm8k_llama8b,math,cusum_max,0.7606,500
lapeigvals_gsm8k_llama8b,math,cusum_shift_idx,0.4666,500
lapeigvals_gsm8k_llama8b,math,epr_spilled,0.2232,500
lapeigvals_gsm8k_llama8b,math,sw_var_peak_spilled,0.2839,500
lapeigvals_gsm8k_llama8b,math,cusum_max_spilled,0.2239,500
lapeigvals_gsm8k_llama8b,math,epr_energy,0.1957,500
lapeigvals_gsm8k_llama8b,math,min_energy,0.2012,500
lapeigvals_gsm8k_llama8b,math,sw_var_peak_energy,0.4288,500
lapeigvals_gsm8k_llama8b,math,cusum_max_energy,0.7654,500
lapeigvals_gsm8k_llama8b,math,mean_top1_logprob,0.7777,500
lapeigvals_gsm8k_llama8b,math,logprob_margin,0.7749,500
lapeigvals_gsm8k_llama8b,math,mean_logprob_entropy,0.7858,500
lapeigvals_gsm8k_llama8b,math,varentropy,0.8012,500
lapeigvals_gsm8k_llama8b,math,renyi_entropy_2,0.7802,500
lapeigvals_gsm8k_llama8b,math,topk_tail_mass,0.803,500
lapeigvals_gsm8k_mistral24b,math,epr,0.8473,1319
lapeigvals_gsm8k_mistral24b,math,trace_length,0.2902,1319
lapeigvals_gsm8k_mistral24b,math,spectral_entropy,0.4808,1319
lapeigvals_gsm8k_mistral24b,math,low_band_power,0.7532,1319
lapeigvals_gsm8k_mistral24b,math,high_band_power,0.2403,1319
lapeigvals_gsm8k_mistral24b,math,hl_ratio,0.2306,1319
lapeigvals_gsm8k_mistral24b,math,dominant_freq,0.3016,1319
lapeigvals_gsm8k_mistral24b,math,spectral_centroid,0.2147,1319
lapeigvals_gsm8k_mistral24b,math,stft_max_high_power,0.6572,1319
lapeigvals_gsm8k_mistral24b,math,stft_spectral_entropy,0.5264,1319
lapeigvals_gsm8k_mistral24b,math,rpdi,0.6795,1319
lapeigvals_gsm8k_mistral24b,math,sw_var_peak,0.8471,1319
lapeigvals_gsm8k_mistral24b,math,pe_mean,0.4617,1319
lapeigvals_gsm8k_mistral24b,math,hurst_exponent,0.2722,1319
lapeigvals_gsm8k_mistral24b,math,cusum_max,0.8139,1319
lapeigvals_gsm8k_mistral24b,math,cusum_shift_idx,0.3407,1319
lapeigvals_gsm8k_mistral24b,math,epr_spilled,0.1676,1319
lapeigvals_gsm8k_mistral24b,math,sw_var_peak_spilled,0.2074,1319
lapeigvals_gsm8k_mistral24b,math,cusum_max_spilled,0.1982,1319
lapeigvals_gsm8k_mistral24b,math,min_spilled,0.3026,1319
lapeigvals_gsm8k_mistral24b,math,epr_energy,0.1908,1319
lapeigvals_gsm8k_mistral24b,math,min_energy,0.2076,1319
lapeigvals_gsm8k_mistral24b,math,sw_var_peak_energy,0.6708,1319
lapeigvals_gsm8k_mistral24b,math,cusum_max_energy,0.798,1319
lapeigvals_gsm8k_mistral24b,math,mean_top1_logprob,0.8412,1319
lapeigvals_gsm8k_mistral24b,math,logprob_margin,0.8302,1319
lapeigvals_gsm8k_mistral24b,math,mean_logprob_entropy,0.8479,1319
lapeigvals_gsm8k_mistral24b,math,varentropy,0.8548,1319
lapeigvals_gsm8k_mistral24b,math,renyi_entropy_2,0.8428,1319
lapeigvals_gsm8k_mistral24b,math,topk_tail_mass,0.8525,1319
lapeigvals_gsm8k_nemo,math,epr,0.7656,1319
lapeigvals_gsm8k_nemo,math,trace_length,0.318,1319
lapeigvals_gsm8k_nemo,math,spectral_entropy,0.6508,1319
lapeigvals_gsm8k_nemo,math,low_band_power,0.6417,1319
lapeigvals_gsm8k_nemo,math,high_band_power,0.3779,1319
lapeigvals_gsm8k_nemo,math,hl_ratio,0.3488,1319
lapeigvals_gsm8k_nemo,math,dominant_freq,0.4289,1319
lapeigvals_gsm8k_nemo,math,spectral_centroid,0.3432,1319
lapeigvals_gsm8k_nemo,math,stft_max_high_power,0.5598,1319
lapeigvals_gsm8k_nemo,math,stft_spectral_entropy,0.5426,1319
lapeigvals_gsm8k_nemo,math,rpdi,0.5927,1319
lapeigvals_gsm8k_nemo,math,sw_var_peak,0.7701,1319
lapeigvals_gsm8k_nemo,math,pe_mean,0.4816,1319
lapeigvals_gsm8k_nemo,math,hurst_exponent,0.4517,1319
lapeigvals_gsm8k_nemo,math,cusum_max,0.6903,1319
lapeigvals_gsm8k_nemo,math,cusum_shift_idx,0.3745,1319
lapeigvals_gsm8k_nemo,math,epr_spilled,0.2528,1319
lapeigvals_gsm8k_nemo,math,sw_var_peak_spilled,0.3084,1319
lapeigvals_gsm8k_nemo,math,cusum_max_spilled,0.3071,1319
lapeigvals_gsm8k_nemo,math,epr_energy,0.2261,1319
lapeigvals_gsm8k_nemo,math,min_energy,0.2574,1319
lapeigvals_gsm8k_nemo,math,sw_var_peak_energy,0.5904,1319
lapeigvals_gsm8k_nemo,math,cusum_max_energy,0.6689,1319
lapeigvals_gsm8k_nemo,math,mean_top1_logprob,0.7588,1319
lapeigvals_gsm8k_nemo,math,logprob_margin,0.7547,1319
lapeigvals_gsm8k_nemo,math,mean_logprob_entropy,0.7668,1319
lapeigvals_gsm8k_nemo,math,varentropy,0.7809,1319
lapeigvals_gsm8k_nemo,math,renyi_entropy_2,0.7619,1319
lapeigvals_gsm8k_nemo,math,topk_tail_mass,0.7889,1319
lapeigvals_gsm8k_phi35,math,epr,0.7702,1319
lapeigvals_gsm8k_phi35,math,trace_length,0.2931,1319
lapeigvals_gsm8k_phi35,math,spectral_entropy,0.6483,1319
lapeigvals_gsm8k_phi35,math,low_band_power,0.6713,1319
lapeigvals_gsm8k_phi35,math,high_band_power,0.3969,1319
lapeigvals_gsm8k_phi35,math,hl_ratio,0.3473,1319
lapeigvals_gsm8k_phi35,math,dominant_freq,0.3854,1319
lapeigvals_gsm8k_phi35,math,spectral_centroid,0.3214,1319
lapeigvals_gsm8k_phi35,math,stft_max_high_power,0.5618,1319
lapeigvals_gsm8k_phi35,math,stft_spectral_entropy,0.4753,1319
lapeigvals_gsm8k_phi35,math,rpdi,0.5218,1319
lapeigvals_gsm8k_phi35,math,sw_var_peak,0.7752,1319
lapeigvals_gsm8k_phi35,math,pe_mean,0.5065,1319
lapeigvals_gsm8k_phi35,math,hurst_exponent,0.3721,1319
lapeigvals_gsm8k_phi35,math,cusum_max,0.7566,1319
lapeigvals_gsm8k_phi35,math,cusum_shift_idx,0.3963,1319
lapeigvals_gsm8k_phi35,math,epr_spilled,0.2409,1319
lapeigvals_gsm8k_phi35,math,sw_var_peak_spilled,0.3057,1319
lapeigvals_gsm8k_phi35,math,cusum_max_spilled,0.2556,1319
lapeigvals_gsm8k_phi35,math,epr_energy,0.5388,1319
lapeigvals_gsm8k_phi35,math,min_energy,0.5047,1319
lapeigvals_gsm8k_phi35,math,sw_var_peak_energy,0.4714,1319
lapeigvals_gsm8k_phi35,math,cusum_max_energy,0.5669,1319
lapeigvals_gsm8k_phi35,math,mean_top1_logprob,0.7641,1319
lapeigvals_gsm8k_phi35,math,logprob_margin,0.7667,1319
lapeigvals_gsm8k_phi35,math,mean_logprob_entropy,0.7708,1319
lapeigvals_gsm8k_phi35,math,varentropy,0.7843,1319
lapeigvals_gsm8k_phi35,math,renyi_entropy_2,0.767,1319
lapeigvals_gsm8k_phi35,math,topk_tail_mass,0.7904,1319
losnet_hotpotqa_mistral7b,QA,epr,0.5598,500
losnet_hotpotqa_mistral7b,QA,trace_length,0.4277,500
losnet_hotpotqa_mistral7b,QA,spectral_entropy,0.5748,500
losnet_hotpotqa_mistral7b,QA,low_band_power,0.5001,500
losnet_hotpotqa_mistral7b,QA,high_band_power,0.519,500
losnet_hotpotqa_mistral7b,QA,hl_ratio,0.508,500
losnet_hotpotqa_mistral7b,QA,dominant_freq,0.4674,500
losnet_hotpotqa_mistral7b,QA,spectral_centroid,0.4956,500
losnet_hotpotqa_mistral7b,QA,stft_max_high_power,0.571,500
losnet_hotpotqa_mistral7b,QA,stft_spectral_entropy,0.5346,500
losnet_hotpotqa_mistral7b,QA,rpdi,0.4991,500
losnet_hotpotqa_mistral7b,QA,sw_var_peak,0.5834,500
losnet_hotpotqa_mistral7b,QA,pe_mean,0.527,500
losnet_hotpotqa_mistral7b,QA,hurst_exponent,0.4796,500
losnet_hotpotqa_mistral7b,QA,cusum_max,0.5452,500
losnet_hotpotqa_mistral7b,QA,cusum_shift_idx,0.464,500
losnet_hotpotqa_mistral7b,QA,epr_spilled,0.4406,500
losnet_hotpotqa_mistral7b,QA,sw_var_peak_spilled,0.4046,500
losnet_hotpotqa_mistral7b,QA,cusum_max_spilled,0.4429,500
losnet_hotpotqa_mistral7b,QA,epr_energy,0.4717,500
losnet_hotpotqa_mistral7b,QA,min_energy,0.4578,500
losnet_hotpotqa_mistral7b,QA,sw_var_peak_energy,0.5421,500
losnet_hotpotqa_mistral7b,QA,cusum_max_energy,0.5445,500
losnet_hotpotqa_mistral7b,QA,mean_top1_logprob,0.5594,500
losnet_hotpotqa_mistral7b,QA,logprob_margin,0.5444,500
losnet_hotpotqa_mistral7b,QA,mean_logprob_entropy,0.5675,500
losnet_hotpotqa_mistral7b,QA,varentropy,0.5833,500
losnet_hotpotqa_mistral7b,QA,renyi_entropy_2,0.5605,500
losnet_hotpotqa_mistral7b,QA,topk_tail_mass,0.5731,500
math500_dsmath7b,math,epr,0.7706,300
math500_dsmath7b,math,trace_length,0.2877,300
math500_dsmath7b,math,spectral_entropy,0.6123,300
math500_dsmath7b,math,low_band_power,0.6021,300
math500_dsmath7b,math,high_band_power,0.3977,300
math500_dsmath7b,math,hl_ratio,0.3912,300
math500_dsmath7b,math,dominant_freq,0.2993,300
math500_dsmath7b,math,spectral_centroid,0.3608,300
math500_dsmath7b,math,stft_max_high_power,0.5101,300
math500_dsmath7b,math,stft_spectral_entropy,0.4333,300
math500_dsmath7b,math,rpdi,0.6729,300
math500_dsmath7b,math,sw_var_peak,0.7002,300
math500_dsmath7b,math,pe_mean,0.5306,300
math500_dsmath7b,math,hurst_exponent,0.3558,300
math500_dsmath7b,math,cusum_max,0.7528,300
math500_dsmath7b,math,cusum_shift_idx,0.4847,300
math500_dsmath7b,math,epr_spilled,0.2327,300
math500_dsmath7b,math,sw_var_peak_spilled,0.3904,300
math500_dsmath7b,math,cusum_max_spilled,0.2379,300
math500_dsmath7b,math,min_spilled,0.3638,300
math500_dsmath7b,math,epr_energy,0.6063,300
math500_dsmath7b,math,min_energy,0.4055,300
math500_dsmath7b,math,sw_var_peak_energy,0.654,300
math500_dsmath7b,math,cusum_max_energy,0.715,300
math500_dsmath7b,math,mean_top1_logprob,0.7769,300
math500_dsmath7b,math,logprob_margin,0.7698,300
math500_dsmath7b,math,mean_logprob_entropy,0.7732,300
math500_dsmath7b,math,varentropy,0.7436,300
math500_dsmath7b,math,renyi_entropy_2,0.775,300
math500_dsmath7b,math,topk_tail_mass,0.7803,300
math500_qwenmath7b,math,epr,0.9306,300
math500_qwenmath7b,math,spectral_entropy,0.1139,300
math500_qwenmath7b,math,low_band_power,0.906,300
math500_qwenmath7b,math,high_band_power,0.0962,300
math500_qwenmath7b,math,hl_ratio,0.0959,300
math500_qwenmath7b,math,spectral_centroid,0.0963,300
math500_qwenmath7b,math,stft_max_high_power,0.2128,300
math500_qwenmath7b,math,stft_spectral_entropy,0.1346,300
math500_qwenmath7b,math,rpdi,0.7133,300
math500_qwenmath7b,math,sw_var_peak,0.8695,300
math500_qwenmath7b,math,pe_mean,0.4823,300
math500_qwenmath7b,math,hurst_exponent,0.0809,300
math500_qwenmath7b,math,cusum_max,0.9277,300
math500_qwenmath7b,math,cusum_shift_idx,0.8392,300
math500_qwenmath7b,math,epr_spilled,0.0714,300
math500_qwenmath7b,math,sw_var_peak_spilled,0.4053,300
math500_qwenmath7b,math,cusum_max_spilled,0.0671,300
math500_qwenmath7b,math,min_spilled,0.2717,300
math500_qwenmath7b,math,epr_energy,0.0948,300
math500_qwenmath7b,math,min_energy,0.1942,300
math500_qwenmath7b,math,sw_var_peak_energy,0.329,300
math500_qwenmath7b,math,cusum_max_energy,0.7961,300
math500_qwenmath7b,math,mean_top1_logprob,0.9233,300
math500_qwenmath7b,math,logprob_margin,0.936,300
math500_qwenmath7b,math,mean_logprob_entropy,0.9307,300
math500_qwenmath7b,math,varentropy,0.1905,300
math500_qwenmath7b,math,renyi_entropy_2,0.9257,300
math500_qwenmath7b,math,topk_tail_mass,0.9264,300
math500_r1distill8b,math,epr,0.8218,300
math500_r1distill8b,math,spectral_entropy,0.8182,300
math500_r1distill8b,math,low_band_power,0.687,300
math500_r1distill8b,math,high_band_power,0.3151,300
math500_r1distill8b,math,hl_ratio,0.3007,300
