domain,cell,feature,rate_top1pct,rate_bottom50,rate_all,marginal_lift,single_auroc
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,epr,0.2788,0.5053,0.5024,0.0001,0.5485
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,spectral_entropy,0.3212,0.4386,0.5024,0.004,0.5611
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,low_band_power,0.0182,0.6739,0.5024,-0.0103,0.4904
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,high_band_power,0.2545,0.5439,0.5024,-0.0017,0.5504
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,hl_ratio,0.0545,0.5967,0.5024,-0.0051,0.5303
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,spectral_centroid,0.1394,0.5486,0.5024,-0.0028,0.5365
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,stft_max_high_power,0.6182,0.4892,0.5024,0.0013,0.5519
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,stft_spectral_entropy,0.1697,0.5367,0.5024,-0.0014,0.539
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,rpdi,0.8788,0.3526,0.5024,0.0107,0.4075
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,sw_var_peak,0.4121,0.5175,0.5024,-0.0029,0.4561
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,pe_mean,0.7333,0.3999,0.5024,0.0081,0.5854
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,hurst_exponent,0.7879,0.3499,0.5024,0.0053,0.555
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,cusum_max,0.697,0.3803,0.5024,0.0058,0.4242
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,cusum_shift_idx,0.0485,0.6207,0.5024,-0.0109,0.4771
gpqa,Llama-8B_T1.0,epr,0.5226,0.4968,0.5008,-0.001,0.5114
gpqa,Llama-8B_T1.0,trace_length,0.6455,0.5054,0.5008,-0.0125,0.534
gpqa,Llama-8B_T1.0,spectral_entropy,0.0678,0.5351,0.5008,0.0038,0.5171
gpqa,Llama-8B_T1.0,low_band_power,0.6568,0.3965,0.5008,0.0042,0.4445
gpqa,Llama-8B_T1.0,high_band_power,0.6511,0.3658,0.5008,0.0083,0.5533
gpqa,Llama-8B_T1.0,hl_ratio,0.6525,0.3879,0.5008,0.0061,0.5556
gpqa,Llama-8B_T1.0,dominant_freq,0.4153,0.5369,0.5008,-0.0124,0.524
gpqa,Llama-8B_T1.0,spectral_centroid,0.7048,0.3919,0.5008,0.0044,0.5551
gpqa,Llama-8B_T1.0,stft_max_high_power,0.3983,0.5733,0.5008,-0.0053,0.451
gpqa,Llama-8B_T1.0,stft_spectral_entropy,0.6229,0.4187,0.5008,0.0005,0.5478
gpqa,Llama-8B_T1.0,rpdi,0.6893,0.4173,0.5008,0.0133,0.4932
gpqa,Llama-8B_T1.0,sw_var_peak,0.5424,0.5201,0.5008,-0.0025,0.489
gpqa,Llama-8B_T1.0,pe_mean,0.1271,0.4751,0.5008,0.0065,0.5001
gpqa,Llama-8B_T1.0,hurst_exponent,0.0198,0.6001,0.5008,-0.0108,0.5015
gpqa,Llama-8B_T1.0,cusum_max,0.0184,0.4552,0.5008,-0.005,0.4789
gpqa,Llama-8B_T1.0,cusum_shift_idx,0.5593,0.4816,0.5008,0.0024,0.5164
gpqa,Mistral-7B_T1.0,epr,0.4329,0.5241,0.5008,-0.0023,0.4438
gpqa,Mistral-7B_T1.0,trace_length,0.003,0.6433,0.5008,-0.0214,0.6028
gpqa,Mistral-7B_T1.0,spectral_entropy,0.2271,0.6162,0.5008,-0.0174,0.3947
gpqa,Mistral-7B_T1.0,low_band_power,0.4756,0.4499,0.5008,0.0078,0.4592
gpqa,Mistral-7B_T1.0,high_band_power,0.3186,0.3292,0.5008,0.0202,0.5005
gpqa,Mistral-7B_T1.0,hl_ratio,0.2591,0.4238,0.5008,0.0092,0.5205
gpqa,Mistral-7B_T1.0,dominant_freq,0.1067,0.4908,0.5008,-0.0019,0.5927
gpqa,Mistral-7B_T1.0,spectral_centroid,0.3598,0.4371,0.5008,0.0077,0.5368
gpqa,Mistral-7B_T1.0,stft_max_high_power,0.4878,0.5604,0.5008,-0.003,0.3984
gpqa,Mistral-7B_T1.0,stft_spectral_entropy,0.5457,0.4245,0.5008,0.0112,0.5386
gpqa,Mistral-7B_T1.0,rpdi,0.8552,0.5797,0.5008,-0.0077,0.4155
gpqa,Mistral-7B_T1.0,sw_var_peak,0.0808,0.4746,0.5008,0.0019,0.4719
gpqa,Mistral-7B_T1.0,pe_mean,0.4802,0.5049,0.5008,0.002,0.5145
gpqa,Mistral-7B_T1.0,hurst_exponent,0.2165,0.3899,0.5008,0.0125,0.4838
gpqa,Mistral-7B_T1.0,cusum_max,0.003,0.6317,0.5008,-0.0203,0.4019
gpqa,Mistral-7B_T1.0,cusum_shift_idx,0.878,0.5385,0.5008,0.0012,0.5633
gpqa,Qwen-7B_T1.0,epr,0.2942,0.4861,0.5008,0.0015,0.4531
gpqa,Qwen-7B_T1.0,trace_length,0.4933,0.5632,0.5008,-0.0164,0.4517
gpqa,Qwen-7B_T1.0,spectral_entropy,0.5007,0.4479,0.5008,0.0133,0.5043
gpqa,Qwen-7B_T1.0,low_band_power,0.4294,0.5656,0.5008,-0.0004,0.5681
gpqa,Qwen-7B_T1.0,high_band_power,0.7385,0.569,0.5008,0.0075,0.4243
gpqa,Qwen-7B_T1.0,hl_ratio,0.581,0.5638,0.5008,0.0062,0.4262
gpqa,Qwen-7B_T1.0,dominant_freq,0.0817,0.4325,0.5008,0.0046,0.5423
gpqa,Qwen-7B_T1.0,spectral_centroid,0.7385,0.5963,0.5008,0.0007,0.4168
gpqa,Qwen-7B_T1.0,stft_max_high_power,0.1738,0.4638,0.5008,0.0062,0.5105
gpqa,Qwen-7B_T1.0,stft_spectral_entropy,0.3373,0.6822,0.5008,-0.0591,0.4371
gpqa,Qwen-7B_T1.0,rpdi,0.9287,0.5156,0.5008,0.0152,0.5691
gpqa,Qwen-7B_T1.0,sw_var_peak,0.4755,0.3559,0.5008,0.0383,0.519
gpqa,Qwen-7B_T1.0,pe_mean,0.367,0.5594,0.5008,-0.0373,0.4487
gpqa,Qwen-7B_T1.0,hurst_exponent,0.1961,0.5351,0.5008,-0.0122,0.4725
gpqa,Qwen-7B_T1.0,cusum_max,0.8796,0.4536,0.5008,0.0298,0.5589
gpqa,Qwen-7B_T1.0,cusum_shift_idx,0.5215,0.5543,0.5008,0.002,0.4519
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,epr,0.1991,0.4856,0.5008,0.0077,0.4489
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,trace_length,0.5076,0.6967,0.5008,-0.0319,0.3517
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,spectral_entropy,0.4787,0.6584,0.5008,-0.0255,0.639
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,low_band_power,0.5502,0.4527,0.5008,0.0107,0.5249
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,high_band_power,0.3693,0.4248,0.5008,0.0122,0.4962
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,hl_ratio,0.5046,0.4356,0.5008,0.0125,0.4805
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,dominant_freq,0.5547,0.5201,0.5008,-0.0005,0.4093
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,spectral_centroid,0.3997,0.4328,0.5008,0.0124,0.4877
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,stft_max_high_power,0.307,0.4523,0.5008,0.008,0.4715
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,stft_spectral_entropy,0.0897,0.5887,0.5008,-0.0178,0.395
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,rpdi,0.462,0.5404,0.5008,-0.0047,0.4043
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,sw_var_peak,0.9453,0.4154,0.5008,0.03,0.5522
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,pe_mean,0.1915,0.5287,0.5008,-0.0031,0.4353
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,hurst_exponent,0.1353,0.645,0.5008,-0.0292,0.3728
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,cusum_max,0.9255,0.5462,0.5008,0.0034,0.6109
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,cusum_shift_idx,0.3374,0.4192,0.5008,0.0159,0.4633
gsm8k,Llama-8B_T1.0,epr,0.9771,0.3575,0.5008,0.0226,0.7075
gsm8k,Llama-8B_T1.0,trace_length,0.7954,0.3711,0.5008,0.0201,0.2855
gsm8k,Llama-8B_T1.0,spectral_entropy,0.7908,0.3836,0.5008,0.0118,0.6496
gsm8k,Llama-8B_T1.0,low_band_power,0.7756,0.4354,0.5008,0.0072,0.6933
gsm8k,Llama-8B_T1.0,high_band_power,0.1115,0.5844,0.5008,-0.0095,0.3911
gsm8k,Llama-8B_T1.0,hl_ratio,0.2901,0.5111,0.5008,-0.0025,0.3369
gsm8k,Llama-8B_T1.0,dominant_freq,0.087,0.5353,0.5008,-0.0115,0.3701
gsm8k,Llama-8B_T1.0,spectral_centroid,0.2595,0.4802,0.5008,0.0034,0.32
gsm8k,Llama-8B_T1.0,stft_max_high_power,0.4489,0.5449,0.5008,-0.0153,0.5267
gsm8k,Llama-8B_T1.0,stft_spectral_entropy,0.6397,0.5933,0.5008,-0.0252,0.4295
gsm8k,Llama-8B_T1.0,rpdi,0.5603,0.4388,0.5008,0.0071,0.6247
gsm8k,Llama-8B_T1.0,sw_var_peak,0.9802,0.2969,0.5008,0.0329,0.7392
gsm8k,Llama-8B_T1.0,pe_mean,0.1466,0.532,0.5008,-0.0227,0.6285
gsm8k,Llama-8B_T1.0,hurst_exponent,0.5267,0.57,0.5008,-0.0198,0.4131
gsm8k,Llama-8B_T1.0,cusum_max,0.5237,0.4202,0.5008,0.0178,0.7138
gsm8k,Llama-8B_T1.0,cusum_shift_idx,0.4748,0.5249,0.5008,-0.0164,0.4448
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,epr,0.8685,0.3558,0.5014,0.016,0.8211
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,spectral_entropy,0.9908,0.2753,0.5014,0.021,0.7995
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,low_band_power,0.211,0.5449,0.5014,-0.0065,0.7509
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,high_band_power,0.0917,0.5506,0.5014,-0.0086,0.2942
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,hl_ratio,0.2263,0.5354,0.5014,-0.0063,0.2589
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,dominant_freq,0.5474,0.4897,0.5014,-0.0009,0.2652
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,spectral_centroid,0.159,0.5529,0.5014,-0.0073,0.2451
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,stft_max_high_power,0.0489,0.5227,0.5014,-0.0043,0.6341
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,stft_spectral_entropy,0.4067,0.599,0.5014,-0.0215,0.402
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,rpdi,0.8624,0.3384,0.5014,0.0194,0.7958
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,sw_var_peak,0.6239,0.4359,0.5014,0.011,0.8272
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,pe_mean,0.6667,0.386,0.5014,0.0092,0.765
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,hurst_exponent,0.2508,0.6053,0.5014,-0.0175,0.3711
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,cusum_max,0.2538,0.4916,0.5014,0.006,0.8069
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,cusum_shift_idx,0.3884,0.5448,0.5014,-0.01,0.4197
math500,Qwen-Math-7B_T1.0,epr,0.9701,0.3648,0.5024,0.0048,0.9662
math500,Qwen-Math-7B_T1.0,spectral_entropy,0.2275,0.5515,0.5024,-0.0017,0.1001
math500,Qwen-Math-7B_T1.0,low_band_power,0.4611,0.4706,0.5024,0.0018,0.9408
math500,Qwen-Math-7B_T1.0,high_band_power,0.5928,0.4512,0.5024,0.0028,0.0586
math500,Qwen-Math-7B_T1.0,hl_ratio,0.503,0.432,0.5024,0.0035,0.0571
math500,Qwen-Math-7B_T1.0,spectral_centroid,0.4611,0.4721,0.5024,0.0018,0.0566
math500,Qwen-Math-7B_T1.0,stft_max_high_power,0.0419,0.5663,0.5024,-0.004,0.1698
math500,Qwen-Math-7B_T1.0,stft_spectral_entropy,0.7605,0.4568,0.5024,0.0014,0.0785
math500,Qwen-Math-7B_T1.0,rpdi,0.7665,0.3405,0.5024,0.0019,0.8932
math500,Qwen-Math-7B_T1.0,sw_var_peak,0.6048,0.3674,0.5024,0.0046,0.9028
math500,Qwen-Math-7B_T1.0,pe_mean,0.4431,0.5051,0.5024,-0.0065,0.5529
math500,Qwen-Math-7B_T1.0,hurst_exponent,0.006,0.5818,0.5024,-0.0005,0.0823
math500,Qwen-Math-7B_T1.0,cusum_max,0.0599,0.5259,0.5024,-0.0007,0.9336
math500,Qwen-Math-7B_T1.0,cusum_shift_idx,0.3892,0.6458,0.5024,-0.0094,0.6961
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,epr,1.0,0.3481,0.5008,0.0078,0.8558
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,trace_length,0.9561,0.3472,0.5008,0.0016,0.3377
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,spectral_entropy,0.2576,0.4824,0.5008,0.002,0.1635
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,low_band_power,0.3788,0.4677,0.5008,0.0034,0.8641
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,high_band_power,0.1697,0.5155,0.5008,0.0004,0.1515
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,hl_ratio,0.2667,0.493,0.5008,0.0009,0.1436
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,dominant_freq,0.5561,0.4743,0.5008,-0.0013,0.2327
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,spectral_centroid,0.4091,0.4615,0.5008,0.0036,0.1336
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,stft_max_high_power,0.1652,0.5697,0.5008,-0.01,0.4421
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,stft_spectral_entropy,0.4015,0.4077,0.5008,0.005,0.1751
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,rpdi,0.3455,0.5642,0.5008,-0.0032,0.7708
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,sw_var_peak,0.203,0.5131,0.5008,-0.0003,0.7957
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,pe_mean,0.1985,0.5832,0.5008,-0.0124,0.4758
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,hurst_exponent,0.7485,0.3894,0.5008,0.0079,0.1324
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,cusum_max,0.397,0.3852,0.5008,0.0076,0.8724
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,cusum_shift_idx,0.2318,0.5998,0.5008,-0.013,0.4124
math500,deepseek-math-7b-instruct_T1.0,epr,1.0,0.2952,0.5008,0.0227,0.7079
math500,deepseek-math-7b-instruct_T1.0,trace_length,0.7924,0.3533,0.5008,0.0176,0.2877
math500,deepseek-math-7b-instruct_T1.0,spectral_entropy,0.7145,0.3784,0.5008,0.0107,0.6436
math500,deepseek-math-7b-instruct_T1.0,low_band_power,0.229,0.5621,0.5008,-0.0071,0.6375
math500,deepseek-math-7b-instruct_T1.0,high_band_power,0.116,0.6196,0.5008,-0.016,0.4039
math500,deepseek-math-7b-instruct_T1.0,hl_ratio,0.171,0.6022,0.5008,-0.0122,0.376
math500,deepseek-math-7b-instruct_T1.0,dominant_freq,0.4443,0.4346,0.5008,0.0065,0.3118
math500,deepseek-math-7b-instruct_T1.0,spectral_centroid,0.3573,0.537,0.5008,-0.0033,0.3482
math500,deepseek-math-7b-instruct_T1.0,stft_max_high_power,0.4992,0.4887,0.5008,-0.0055,0.6097
math500,deepseek-math-7b-instruct_T1.0,stft_spectral_entropy,0.0748,0.5926,0.5008,-0.0099,0.3917
math500,deepseek-math-7b-instruct_T1.0,rpdi,0.374,0.5533,0.5008,-0.0044,0.6334
math500,deepseek-math-7b-instruct_T1.0,sw_var_peak,0.0092,0.4596,0.5008,0.0046,0.6387
math500,deepseek-math-7b-instruct_T1.0,pe_mean,0.5115,0.5038,0.5008,-0.0077,0.5438
math500,deepseek-math-7b-instruct_T1.0,hurst_exponent,0.684,0.4505,0.5008,0.0056,0.3238
math500,deepseek-math-7b-instruct_T1.0,cusum_max,0.255,0.4517,0.5008,0.0087,0.7041
math500,deepseek-math-7b-instruct_T1.0,cusum_shift_idx,0.5176,0.5501,0.5008,-0.0105,0.5751
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,epr,0.7881,0.2415,0.5008,0.0468,0.6595
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,trace_length,0.343,0.4965,0.5008,0.0016,0.4749
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,spectral_entropy,0.2454,0.47,0.5008,0.0031,0.5247
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,low_band_power,0.1037,0.5551,0.5008,-0.0148,0.4961
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,high_band_power,0.1418,0.5499,0.5008,-0.0139,0.5153
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,hl_ratio,0.3399,0.5197,0.5008,-0.0088,0.5063
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,dominant_freq,0.0518,0.5969,0.5008,-0.0248,0.5207
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,spectral_centroid,0.0976,0.5636,0.5008,-0.0168,0.5232
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,stft_max_high_power,0.1326,0.487,0.5008,-0.0008,0.5144
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,stft_spectral_entropy,0.1479,0.4885,0.5008,-0.0013,0.5089
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,rpdi,0.5701,0.5177,0.5008,-0.0066,0.6327
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,sw_var_peak,0.9649,0.2968,0.5008,0.0446,0.6848
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,pe_mean,0.3857,0.5181,0.5008,-0.0065,0.4794
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,hurst_exponent,0.3399,0.5032,0.5008,-0.0003,0.4512
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,cusum_max,0.625,0.3795,0.5008,0.0189,0.6056
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,cusum_shift_idx,0.3064,0.5559,0.5008,-0.0205,0.5799
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,epr,0.6719,0.4687,0.5024,0.0186,0.84
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,trace_length,0.5406,0.4373,0.5024,-0.0231,0.06
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,spectral_entropy,0.4094,0.5376,0.5024,-0.1119,0.78
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,low_band_power,0.3906,0.4801,0.5024,-0.0212,0.92
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,high_band_power,0.4531,0.5621,0.5024,-0.0567,0.56
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,hl_ratio,0.7094,0.2687,0.5024,0.1061,0.04
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,dominant_freq,0.3594,0.6043,0.5024,-0.0733,0.64
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,spectral_centroid,0.0938,0.5699,0.5024,-0.0761,0.52
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,rpdi,0.2188,0.5247,0.5024,-0.0407,0.37
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,sw_var_peak,0.6281,0.3841,0.5024,0.1164,0.84
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,pe_mean,0.05,0.5858,0.5024,-0.0811,0.25
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,hurst_exponent,0.3125,0.5272,0.5024,-0.022,0.44
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,cusum_max,0.2625,0.3829,0.5024,0.1997,0.83
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,cusum_shift_idx,0.8969,0.4335,0.5024,0.0654,0.155
qa,spectral_phase9_cache_webq_cot_traces_T1.0,epr,0.8003,0.3526,0.5008,0.0179,0.6125
qa,spectral_phase9_cache_webq_cot_traces_T1.0,trace_length,0.5395,0.4259,0.5008,0.0118,0.3998
