domain,cell,size,n_subsets,max,p5,p25,p50,p75,p95
repgrid,lapeigvals_gsm8k_llama8b,3,560,0.819,0.612,0.693,0.734,0.7721,0.8034
repgrid,lapeigvals_gsm8k_llama8b,4,1820,0.8279,0.6676,0.7331,0.7603,0.7828,0.8045
repgrid,lapeigvals_gsm8k_llama8b,5,4368,0.8268,0.7057,0.7488,0.7706,0.789,0.8052
repgrid,lapeigvals_gsm8k_llama8b,6,8008,0.8261,0.7287,0.759,0.7778,0.7924,0.8064
repgrid,lapeigvals_gsm8k_llama8b,7,11440,0.8263,0.7412,0.7662,0.782,0.7945,0.807
repgrid,lapeigvals_gsm8k_llama8b,8,12870,0.8238,0.7493,0.7711,0.7849,0.7963,0.8075
repgrid,lapeigvals_gsm8k_llama8b,9,11440,0.8221,0.7552,0.7748,0.7867,0.7971,0.808
repgrid,lapeigvals_gsm8k_llama8b,10,8008,0.8175,0.7609,0.7776,0.7884,0.7978,0.8079
repgrid,lapeigvals_gsm8k_llama8b,11,4368,0.8163,0.7659,0.7801,0.7893,0.798,0.8075
repgrid,lapeigvals_gsm8k_llama8b,12,1820,0.8135,0.771,0.7822,0.7906,0.7988,0.8065
repgrid,lapeigvals_gsm8k_llama8b,13,560,0.8113,0.7755,0.7847,0.7916,0.7988,0.8048
repgrid,lapeigvals_gsm8k_llama8b,14,120,0.8098,0.7797,0.7865,0.7945,0.7984,0.8027
repgrid,lapeigvals_gsm8k_llama8b,15,16,0.7992,0.7808,0.7894,0.7948,0.798,0.799
repgrid,lapeigvals_gsm8k_llama8b,16,1,0.7945,0.7945,0.7945,0.7945,0.7945,0.7945
repgrid,lapeigvals_gsm8k_mistral24b,3,560,0.8557,0.623,0.7138,0.7678,0.7945,0.8284
repgrid,lapeigvals_gsm8k_mistral24b,4,1820,0.8517,0.6497,0.7466,0.7822,0.8053,0.8298
repgrid,lapeigvals_gsm8k_mistral24b,5,4368,0.856,0.7013,0.7649,0.7921,0.8122,0.8336
repgrid,lapeigvals_gsm8k_mistral24b,6,8008,0.8582,0.7317,0.7763,0.7975,0.8147,0.8344
repgrid,lapeigvals_gsm8k_mistral24b,7,11440,0.8633,0.754,0.7844,0.8019,0.8164,0.8345
repgrid,lapeigvals_gsm8k_mistral24b,8,12870,0.8655,0.7662,0.7901,0.8048,0.8182,0.8346
repgrid,lapeigvals_gsm8k_mistral24b,9,11440,0.8684,0.7756,0.7941,0.8068,0.8193,0.8346
repgrid,lapeigvals_gsm8k_mistral24b,10,8008,0.8693,0.7816,0.7972,0.8085,0.8199,0.8351
repgrid,lapeigvals_gsm8k_mistral24b,11,4368,0.8557,0.7861,0.7989,0.8095,0.8206,0.8351
repgrid,lapeigvals_gsm8k_mistral24b,12,1820,0.8482,0.7904,0.8008,0.81,0.8205,0.8341
repgrid,lapeigvals_gsm8k_mistral24b,13,560,0.8443,0.7932,0.802,0.8088,0.8189,0.8329
repgrid,lapeigvals_gsm8k_mistral24b,14,120,0.8381,0.7977,0.8028,0.8079,0.8152,0.8304
repgrid,lapeigvals_gsm8k_mistral24b,15,16,0.8281,0.7992,0.8041,0.8063,0.8101,0.8257
repgrid,lapeigvals_gsm8k_mistral24b,16,1,0.8079,0.8079,0.8079,0.8079,0.8079,0.8079
repgrid,lapeigvals_gsm8k_nemo,3,560,0.8051,0.4468,0.6087,0.6769,0.7131,0.7613
repgrid,lapeigvals_gsm8k_nemo,4,1820,0.8045,0.4519,0.6324,0.6871,0.7296,0.7695
repgrid,lapeigvals_gsm8k_nemo,5,4368,0.8072,0.4607,0.6469,0.6984,0.7375,0.772
repgrid,lapeigvals_gsm8k_nemo,6,8008,0.8123,0.47,0.656,0.7042,0.7416,0.7753
repgrid,lapeigvals_gsm8k_nemo,7,11440,0.8126,0.5394,0.6636,0.7075,0.744,0.7763
repgrid,lapeigvals_gsm8k_nemo,8,12870,0.8127,0.5973,0.6688,0.7104,0.746,0.7768
repgrid,lapeigvals_gsm8k_nemo,9,11440,0.814,0.6173,0.6744,0.7132,0.7477,0.7767
repgrid,lapeigvals_gsm8k_nemo,10,8008,0.8116,0.6282,0.6791,0.7156,0.749,0.7766
repgrid,lapeigvals_gsm8k_nemo,11,4368,0.8049,0.6363,0.6822,0.7192,0.7484,0.7756
repgrid,lapeigvals_gsm8k_nemo,12,1820,0.7924,0.6431,0.69,0.7215,0.7466,0.774
repgrid,lapeigvals_gsm8k_nemo,13,560,0.7818,0.6499,0.6993,0.7242,0.7427,0.7718
repgrid,lapeigvals_gsm8k_nemo,14,120,0.7798,0.66,0.7077,0.726,0.7419,0.7667
repgrid,lapeigvals_gsm8k_nemo,15,16,0.7623,0.684,0.7172,0.7252,0.7366,0.7487
repgrid,lapeigvals_gsm8k_nemo,16,1,0.7389,0.7389,0.7389,0.7389,0.7389,0.7389
repgrid,lapeigvals_gsm8k_phi35,3,560,0.8099,0.452,0.6245,0.6766,0.7182,0.7719
repgrid,lapeigvals_gsm8k_phi35,4,1820,0.8162,0.5101,0.6476,0.6948,0.7355,0.7773
repgrid,lapeigvals_gsm8k_phi35,5,4368,0.8173,0.577,0.664,0.7063,0.7423,0.7792
repgrid,lapeigvals_gsm8k_phi35,6,8008,0.8176,0.6103,0.6744,0.7131,0.7454,0.7795
repgrid,lapeigvals_gsm8k_phi35,7,11440,0.8119,0.6345,0.6841,0.7191,0.7479,0.7805
repgrid,lapeigvals_gsm8k_phi35,8,12870,0.8079,0.6483,0.6911,0.7222,0.7497,0.7804
repgrid,lapeigvals_gsm8k_phi35,9,11440,0.8054,0.6599,0.6973,0.7243,0.7509,0.7801
repgrid,lapeigvals_gsm8k_phi35,10,8008,0.7979,0.6675,0.7019,0.7264,0.7517,0.7782
repgrid,lapeigvals_gsm8k_phi35,11,4368,0.7909,0.6759,0.7069,0.7289,0.7513,0.7757
repgrid,lapeigvals_gsm8k_phi35,12,1820,0.7832,0.6853,0.7148,0.7319,0.7498,0.7731
repgrid,lapeigvals_gsm8k_phi35,13,560,0.7793,0.691,0.7193,0.7329,0.7469,0.7691
repgrid,lapeigvals_gsm8k_phi35,14,120,0.7756,0.7056,0.7206,0.7349,0.7427,0.767
repgrid,lapeigvals_gsm8k_phi35,15,16,0.7627,0.7171,0.7238,0.7348,0.7386,0.7478
repgrid,lapeigvals_gsm8k_phi35,16,1,0.7357,0.7357,0.7357,0.7357,0.7357,0.7357
repgrid,losnet_hotpotqa_mistral7b,3,560,0.6091,0.4763,0.5074,0.5285,0.5502,0.5835
repgrid,losnet_hotpotqa_mistral7b,4,1820,0.6084,0.4819,0.512,0.5345,0.5559,0.5857
repgrid,losnet_hotpotqa_mistral7b,5,4368,0.6093,0.4909,0.516,0.5367,0.5553,0.582
repgrid,losnet_hotpotqa_mistral7b,6,8008,0.6107,0.494,0.5182,0.5373,0.5543,0.5791
repgrid,losnet_hotpotqa_mistral7b,7,11440,0.6096,0.4978,0.5208,0.5382,0.5538,0.5767
repgrid,losnet_hotpotqa_mistral7b,8,12870,0.6081,0.5017,0.5228,0.5384,0.5527,0.5737
repgrid,losnet_hotpotqa_mistral7b,9,11440,0.6052,0.5051,0.5239,0.538,0.5522,0.5707
repgrid,losnet_hotpotqa_mistral7b,10,8008,0.6019,0.5089,0.5249,0.5377,0.5519,0.5678
repgrid,losnet_hotpotqa_mistral7b,11,4368,0.5914,0.5134,0.5261,0.538,0.5513,0.5653
repgrid,losnet_hotpotqa_mistral7b,12,1820,0.5814,0.5169,0.528,0.5388,0.5506,0.5625
repgrid,losnet_hotpotqa_mistral7b,13,560,0.5771,0.5212,0.5293,0.5394,0.5493,0.5597
repgrid,losnet_hotpotqa_mistral7b,14,120,0.5655,0.5259,0.5315,0.5398,0.5498,0.5559
repgrid,losnet_hotpotqa_mistral7b,15,16,0.5517,0.5285,0.5319,0.5407,0.5462,0.5511
repgrid,losnet_hotpotqa_mistral7b,16,1,0.5434,0.5434,0.5434,0.5434,0.5434,0.5434
repgrid,noise_gsm8k_mistral7b,3,560,0.8079,0.5051,0.6321,0.6846,0.7298,0.7707
repgrid,noise_gsm8k_mistral7b,4,1820,0.815,0.5522,0.6533,0.7055,0.7423,0.7842
repgrid,noise_gsm8k_mistral7b,5,4368,0.815,0.5841,0.6682,0.7151,0.7472,0.7875
repgrid,noise_gsm8k_mistral7b,6,8008,0.8183,0.6053,0.6776,0.7193,0.7495,0.7879
repgrid,noise_gsm8k_mistral7b,7,11440,0.8183,0.6196,0.6826,0.7215,0.7506,0.787
repgrid,noise_gsm8k_mistral7b,8,12870,0.8173,0.6329,0.6834,0.7227,0.7527,0.7848
repgrid,noise_gsm8k_mistral7b,9,11440,0.8155,0.6461,0.6856,0.7241,0.7551,0.7836
repgrid,noise_gsm8k_mistral7b,10,8008,0.8141,0.6564,0.6891,0.7252,0.7571,0.782
repgrid,noise_gsm8k_mistral7b,11,4368,0.8082,0.6654,0.6932,0.7259,0.7573,0.7798
repgrid,noise_gsm8k_mistral7b,12,1820,0.7947,0.6741,0.6981,0.7262,0.7545,0.777
repgrid,noise_gsm8k_mistral7b,13,560,0.7833,0.6811,0.7049,0.7267,0.7511,0.7714
repgrid,noise_gsm8k_mistral7b,14,120,0.773,0.6854,0.7107,0.7271,0.7456,0.7695
repgrid,noise_gsm8k_mistral7b,15,16,0.7636,0.7034,0.7167,0.7217,0.7329,0.7632
repgrid,noise_gsm8k_mistral7b,16,1,0.7201,0.7201,0.7201,0.7201,0.7201,0.7201
repgrid,noise_gsm8k_phi3mini,3,560,0.6798,0.4517,0.516,0.5787,0.6151,0.652
repgrid,noise_gsm8k_phi3mini,4,1820,0.6899,0.4375,0.5033,0.5851,0.6214,0.6617
repgrid,noise_gsm8k_phi3mini,5,4368,0.6908,0.4379,0.5048,0.5898,0.6235,0.6627
repgrid,noise_gsm8k_phi3mini,6,8008,0.6909,0.4358,0.5024,0.593,0.6249,0.6609
repgrid,noise_gsm8k_phi3mini,7,11440,0.6928,0.4339,0.4942,0.5946,0.6242,0.6598
repgrid,noise_gsm8k_phi3mini,8,12870,0.6902,0.4338,0.4915,0.5955,0.6236,0.6585
repgrid,noise_gsm8k_phi3mini,9,11440,0.6935,0.4333,0.4804,0.5961,0.6239,0.6556
repgrid,noise_gsm8k_phi3mini,10,8008,0.6862,0.4322,0.4717,0.5967,0.6232,0.6521
repgrid,noise_gsm8k_phi3mini,11,4368,0.6783,0.432,0.4723,0.5975,0.6211,0.6482
repgrid,noise_gsm8k_phi3mini,12,1820,0.6678,0.4327,0.5731,0.5983,0.6184,0.6429
repgrid,noise_gsm8k_phi3mini,13,560,0.6516,0.4327,0.5864,0.5996,0.6147,0.639
repgrid,noise_gsm8k_phi3mini,14,120,0.6442,0.4389,0.5928,0.5989,0.6078,0.6275
repgrid,noise_gsm8k_phi3mini,15,16,0.6232,0.4394,0.5943,0.5986,0.603,0.6191
repgrid,noise_gsm8k_phi3mini,16,1,0.5988,0.5988,0.5988,0.5988,0.5988,0.5988
repgrid,sciq_llama8b,3,560,0.7609,0.5628,0.6269,0.6722,0.7041,0.7316
repgrid,sciq_llama8b,4,1820,0.758,0.5905,0.6556,0.6857,0.7099,0.7391
repgrid,sciq_llama8b,5,4368,0.7565,0.6132,0.6669,0.6937,0.7131,0.7393
repgrid,sciq_llama8b,6,8008,0.758,0.634,0.6778,0.6991,0.7162,0.739
repgrid,sciq_llama8b,7,11440,0.754,0.65,0.6858,0.7041,0.7194,0.7385
repgrid,sciq_llama8b,8,12870,0.7541,0.6632,0.6919,0.708,0.7221,0.7378
repgrid,sciq_llama8b,9,11440,0.7503,0.6724,0.6972,0.7111,0.7246,0.7369
repgrid,sciq_llama8b,10,8008,0.7444,0.6804,0.7017,0.7138,0.726,0.7359
repgrid,sciq_llama8b,11,4368,0.7421,0.6884,0.7057,0.7164,0.7266,0.7348
repgrid,sciq_llama8b,12,1820,0.7399,0.6947,0.7094,0.7185,0.7264,0.7335
repgrid,sciq_llama8b,13,560,0.7394,0.7019,0.7133,0.7201,0.7259,0.7318
repgrid,sciq_llama8b,14,120,0.7365,0.709,0.7176,0.7216,0.7245,0.7308
repgrid,sciq_llama8b,15,16,0.7305,0.7149,0.7199,0.7218,0.7234,0.7281
repgrid,sciq_llama8b,16,1,0.7215,0.7215,0.7215,0.7215,0.7215,0.7215
repgrid,se_nq_open_llama8b,3,364,0.7386,0.5411,0.5785,0.6188,0.6546,0.707
repgrid,se_nq_open_llama8b,4,1001,0.7428,0.565,0.6015,0.6321,0.6684,0.7078
repgrid,se_nq_open_llama8b,5,2002,0.7382,0.5804,0.6128,0.648,0.6729,0.7048
repgrid,se_nq_open_llama8b,6,3003,0.736,0.5976,0.6251,0.6536,0.6732,0.7069
repgrid,se_nq_open_llama8b,7,3432,0.7306,0.6033,0.6296,0.6555,0.6764,0.704
repgrid,se_nq_open_llama8b,8,3003,0.7223,0.6102,0.6366,0.6567,0.6786,0.6996
repgrid,se_nq_open_llama8b,9,2002,0.7156,0.6161,0.64,0.6592,0.6799,0.6959
repgrid,se_nq_open_llama8b,10,1001,0.7086,0.6193,0.6444,0.662,0.68,0.6919
repgrid,se_nq_open_llama8b,11,364,0.6958,0.6254,0.6515,0.6643,0.6785,0.6874
repgrid,se_nq_open_llama8b,12,91,0.6879,0.6336,0.654,0.6664,0.6775,0.6826
repgrid,se_nq_open_llama8b,13,14,0.6798,0.6489,0.6592,0.665,0.6752,0.678
repgrid,se_nq_open_llama8b,14,1,0.6638,0.6638,0.6638,0.6638,0.6638,0.6638
repgrid,se_squad_v2_llama8b,3,364,0.8095,0.604,0.6642,0.7001,0.7374,0.7843
repgrid,se_squad_v2_llama8b,4,1001,0.8146,0.6494,0.6978,0.7259,0.7532,0.7879
repgrid,se_squad_v2_llama8b,5,2002,0.8181,0.6845,0.716,0.7395,0.7634,0.7927
repgrid,se_squad_v2_llama8b,6,3003,0.8165,0.7016,0.7257,0.746,0.7679,0.7925
repgrid,se_squad_v2_llama8b,7,3432,0.8156,0.7113,0.7335,0.7518,0.7696,0.7914
repgrid,se_squad_v2_llama8b,8,3003,0.8126,0.7189,0.7395,0.7545,0.7706,0.7907
repgrid,se_squad_v2_llama8b,9,2002,0.8087,0.7269,0.7447,0.7573,0.7711,0.7893
repgrid,se_squad_v2_llama8b,10,1001,0.8006,0.7345,0.7487,0.7596,0.7708,0.7863
repgrid,se_squad_v2_llama8b,11,364,0.7926,0.7414,0.7532,0.7618,0.7714,0.7824
repgrid,se_squad_v2_llama8b,12,91,0.7877,0.7483,0.7568,0.7641,0.7703,0.7798
repgrid,se_squad_v2_llama8b,13,14,0.7772,0.7561,0.7586,0.7656,0.7686,0.7765
repgrid,se_squad_v2_llama8b,14,1,0.7674,0.7674,0.7674,0.7674,0.7674,0.7674
repgrid,seiclr_triviaqa_opt30b,3,455,0.6325,0.4467,0.4883,0.514,0.5467,0.5958
repgrid,seiclr_triviaqa_opt30b,4,1365,0.6304,0.4642,0.497,0.5206,0.5473,0.5836
repgrid,seiclr_triviaqa_opt30b,5,3003,0.6228,0.4769,0.5014,0.5225,0.5455,0.5771
repgrid,seiclr_triviaqa_opt30b,6,5005,0.6191,0.4854,0.5052,0.5249,0.5453,0.5725
repgrid,seiclr_triviaqa_opt30b,7,6435,0.6205,0.4898,0.5077,0.5257,0.544,0.5677
repgrid,seiclr_triviaqa_opt30b,8,6435,0.5964,0.4925,0.5099,0.527,0.5427,0.5628
repgrid,seiclr_triviaqa_opt30b,9,5005,0.598,0.4946,0.513,0.5275,0.5416,0.5592
repgrid,seiclr_triviaqa_opt30b,10,3003,0.5864,0.497,0.5162,0.5279,0.5406,0.5562
repgrid,seiclr_triviaqa_opt30b,11,1365,0.5704,0.4984,0.5178,0.5277,0.5397,0.5534
repgrid,seiclr_triviaqa_opt30b,12,455,0.5627,0.5052,0.5187,0.5288,0.5383,0.5514
repgrid,seiclr_triviaqa_opt30b,13,105,0.5553,0.5122,0.5225,0.5298,0.5384,0.5486
repgrid,seiclr_triviaqa_opt30b,14,15,0.5472,0.5153,0.5281,0.5308,0.5332,0.5426
repgrid,seiclr_triviaqa_opt30b,15,1,0.5295,0.5295,0.5295,0.5295,0.5295,0.5295
repgrid,semenergy_triviaqa_qwen3_8b,3,364,0.8069,0.4737,0.6202,0.6591,0.7296,0.7764
repgrid,semenergy_triviaqa_qwen3_8b,4,1001,0.8075,0.4378,0.6406,0.6942,0.7227,0.7791
repgrid,semenergy_triviaqa_qwen3_8b,5,2002,0.8094,0.5817,0.6559,0.6982,0.7267,0.7767
repgrid,semenergy_triviaqa_qwen3_8b,6,3003,0.8086,0.6261,0.6686,0.7009,0.7353,0.7752
repgrid,semenergy_triviaqa_qwen3_8b,7,3432,0.8069,0.6347,0.6778,0.7039,0.7353,0.7714
repgrid,semenergy_triviaqa_qwen3_8b,8,3003,0.8034,0.6418,0.6827,0.7118,0.7331,0.7612
repgrid,semenergy_triviaqa_qwen3_8b,9,2002,0.7994,0.6502,0.6886,0.7159,0.7317,0.753
repgrid,semenergy_triviaqa_qwen3_8b,10,1001,0.7682,0.6605,0.6965,0.7161,0.7316,0.7484
repgrid,semenergy_triviaqa_qwen3_8b,11,364,0.7597,0.672,0.6986,0.7139,0.7311,0.7431
repgrid,semenergy_triviaqa_qwen3_8b,12,91,0.7436,0.6814,0.6997,0.7116,0.7287,0.7357
repgrid,semenergy_triviaqa_qwen3_8b,13,14,0.7297,0.693,0.7077,0.7094,0.7213,0.7278
repgrid,semenergy_triviaqa_qwen3_8b,14,1,0.7091,0.7091,0.7091,0.7091,0.7091,0.7091
repgrid,spilled_triviaqa_llama8b,3,364,0.9707,0.5661,0.7628,0.843,0.8908,0.9405
repgrid,spilled_triviaqa_llama8b,4,1001,0.9793,0.7307,0.8333,0.8773,0.91,0.9447
repgrid,spilled_triviaqa_llama8b,5,2002,0.9827,0.818,0.8588,0.888,0.9172,0.9473
repgrid,spilled_triviaqa_llama8b,6,3003,0.9813,0.8354,0.8687,0.8953,0.9207,0.9493
repgrid,spilled_triviaqa_llama8b,7,3432,0.9753,0.8473,0.8773,0.9,0.922,0.9493
repgrid,spilled_triviaqa_llama8b,8,3003,0.9713,0.8553,0.8827,0.9033,0.9233,0.9487
repgrid,spilled_triviaqa_llama8b,9,2002,0.9673,0.862,0.886,0.904,0.922,0.9453
repgrid,spilled_triviaqa_llama8b,10,1001,0.9647,0.87,0.8893,0.9053,0.922,0.942
repgrid,spilled_triviaqa_llama8b,11,364,0.9633,0.8747,0.8907,0.9067,0.92,0.9411
repgrid,spilled_triviaqa_llama8b,12,91,0.954,0.8803,0.895,0.908,0.9187,0.9363
repgrid,spilled_triviaqa_llama8b,13,14,0.9327,0.8913,0.9028,0.9077,0.9182,0.9262
repgrid,spilled_triviaqa_llama8b,14,1,0.9067,0.9067,0.9067,0.9067,0.9067,0.9067
repgrid,truthfulqa_llama8b,3,560,0.6878,0.5144,0.5737,0.6018,0.6385,0.6698
repgrid,truthfulqa_llama8b,4,1820,0.6861,0.522,0.579,0.6233,0.6521,0.673
repgrid,truthfulqa_llama8b,5,4368,0.6845,0.534,0.5947,0.6325,0.6584,0.6739
repgrid,truthfulqa_llama8b,6,8008,0.6856,0.5487,0.6019,0.6374,0.6615,0.6744
repgrid,truthfulqa_llama8b,7,11440,0.6843,0.5583,0.6067,0.6416,0.6627,0.6746
repgrid,truthfulqa_llama8b,8,12870,0.6826,0.5653,0.6133,0.6452,0.6631,0.6744
repgrid,truthfulqa_llama8b,9,11440,0.6818,0.5724,0.6198,0.6489,0.6632,0.6741
repgrid,truthfulqa_llama8b,10,8008,0.6813,0.5799,0.6245,0.6516,0.6633,0.6743
repgrid,truthfulqa_llama8b,11,4368,0.6802,0.5872,0.6308,0.6532,0.6634,0.6741
repgrid,truthfulqa_llama8b,12,1820,0.6789,0.5933,0.6392,0.6541,0.6629,0.6734
repgrid,truthfulqa_llama8b,13,560,0.6769,0.6014,0.644,0.6549,0.6612,0.6723
repgrid,truthfulqa_llama8b,14,120,0.6739,0.6103,0.6474,0.6556,0.6589,0.6704
repgrid,truthfulqa_llama8b,15,16,0.6695,0.6393,0.6495,0.6563,0.6572,0.6642
repgrid,truthfulqa_llama8b,16,1,0.6555,0.6555,0.6555,0.6555,0.6555,0.6555
trace,gpqa_r1_7b_raw,3,455,0.5868,0.4202,0.4434,0.4723,0.5222,0.5589
trace,gpqa_r1_7b_raw,4,1365,0.5986,0.4225,0.4349,0.451,0.4899,0.5607
trace,gpqa_r1_7b_raw,5,3003,0.6088,0.4225,0.4343,0.4477,0.4764,0.5592
trace,gpqa_r1_7b_raw,6,5005,0.5992,0.423,0.4334,0.4443,0.4636,0.5586
trace,gpqa_r1_7b_raw,7,6435,0.5947,0.4229,0.4327,0.4423,0.4579,0.5603
trace,gpqa_r1_7b_raw,8,6435,0.5942,0.423,0.4323,0.4408,0.4545,0.5625
trace,gpqa_r1_7b_raw,9,5005,0.5864,0.4227,0.4316,0.4397,0.4508,0.5636
trace,gpqa_r1_7b_raw,10,3003,0.5857,0.4221,0.4306,0.4377,0.4466,0.5612
trace,gpqa_r1_7b_raw,11,1365,0.5823,0.4216,0.4288,0.4356,0.4427,0.5565
trace,gpqa_r1_7b_raw,12,455,0.5816,0.4212,0.4275,0.4332,0.4384,0.4674
trace,gpqa_r1_7b_raw,13,105,0.5647,0.4198,0.4264,0.431,0.4358,0.4424
trace,gpqa_r1_7b_raw,14,15,0.4379,0.4192,0.4218,0.426,0.4312,0.4352
trace,gpqa_r1_7b_raw,15,1,0.4234,0.4234,0.4234,0.4234,0.4234,0.4234
trace,gsm8k_llama8b_raw,3,560,0.7784,0.352,0.4584,0.6606,0.71,0.7477
trace,gsm8k_llama8b_raw,4,1820,0.7864,0.36,0.4869,0.6773,0.7158,0.7547
trace,gsm8k_llama8b_raw,5,4368,0.7983,0.3586,0.4573,0.6803,0.7192,0.7556
trace,gsm8k_llama8b_raw,6,8008,0.7961,0.3563,0.4428,0.6811,0.7214,0.7578
trace,gsm8k_llama8b_raw,7,11440,0.7931,0.3548,0.443,0.6845,0.7232,0.7591
trace,gsm8k_llama8b_raw,8,12870,0.792,0.3527,0.4475,0.6852,0.7237,0.7594
trace,gsm8k_llama8b_raw,9,11440,0.7827,0.3494,0.4587,0.6861,0.723,0.7588
trace,gsm8k_llama8b_raw,10,8008,0.7905,0.3472,0.4794,0.6878,0.7214,0.757
trace,gsm8k_llama8b_raw,11,4368,0.778,0.3459,0.6538,0.6891,0.7198,0.7534
trace,gsm8k_llama8b_raw,12,1820,0.7727,0.3461,0.6628,0.6909,0.7186,0.7491
trace,gsm8k_llama8b_raw,13,560,0.7672,0.3457,0.6689,0.6942,0.7189,0.7425
trace,gsm8k_llama8b_raw,14,120,0.7609,0.3416,0.6749,0.7002,0.7213,0.7327
trace,gsm8k_llama8b_raw,15,16,0.7489,0.6758,0.6917,0.7078,0.7251,0.7364
trace,gsm8k_llama8b_raw,16,1,0.7097,0.7097,0.7097,0.7097,0.7097,0.7097
trace,math500_qwen1.5b_raw,3,560,0.6915,0.5808,0.625,0.6473,0.6637,0.6786
trace,math500_qwen1.5b_raw,4,1820,0.6939,0.6093,0.6422,0.6574,0.6684,0.6804
trace,math500_qwen1.5b_raw,5,4368,0.6919,0.6197,0.6481,0.6603,0.6695,0.6794
trace,math500_qwen1.5b_raw,6,8008,0.6894,0.6269,0.6524,0.6625,0.6702,0.6792
trace,math500_qwen1.5b_raw,7,11440,0.6894,0.6365,0.6563,0.6642,0.6708,0.6787
trace,math500_qwen1.5b_raw,8,12870,0.6884,0.6464,0.6592,0.6655,0.6712,0.6782
trace,math500_qwen1.5b_raw,9,11440,0.6881,0.6522,0.6612,0.6666,0.6714,0.6777
trace,math500_qwen1.5b_raw,10,8008,0.6852,0.6559,0.6628,0.6674,0.6717,0.6777
trace,math500_qwen1.5b_raw,11,4368,0.6823,0.6583,0.6642,0.6681,0.6718,0.677
trace,math500_qwen1.5b_raw,12,1820,0.6806,0.6605,0.6653,0.6686,0.6717,0.676
trace,math500_qwen1.5b_raw,13,560,0.6789,0.6624,0.6661,0.669,0.6717,0.6749
trace,math500_qwen1.5b_raw,14,120,0.6758,0.6644,0.667,0.6692,0.6713,0.6737
trace,math500_qwen1.5b_raw,15,16,0.6733,0.6671,0.6682,0.6691,0.6705,0.6727
trace,math500_qwen1.5b_raw,16,1,0.6695,0.6695,0.6695,0.6695,0.6695,0.6695
