domain,cell_key,n,pos_rate,pool_size,n_subsets,best_auroc,best_feats,best_K,good5_auroc,good5_rank,good5_pctile,all16_auroc,epr_auroc,avg_auroc,sweep_seconds
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,198,0.242,14,16278,0.6080555555555556,stft_max_high_power|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max,4,0.5525,10766,33.86,0.5574999999999999,0.5484722222222222,0.5358333333333334,332.4
gpqa,Llama-8B_T1.0,198,0.268,16,65399,0.572153545868575,trace_length|spectral_centroid|stft_max_high_power|stft_spectral_entropy|cusum_shift_idx,3,0.532726089785296,35597,45.57,0.5458685751463891,0.5113858165256995,0.5220559531554978,1220.9
gpqa,Mistral-7B_T1.0,198,0.253,16,65399,0.6013513513513513,stft_max_high_power|rpdi|cusum_shift_idx,2,0.41770270270270266,43038,34.19,0.44162162162162166,0.4437837837837838,0.4548648648648648,1462.9
gpqa,Qwen-7B_T1.0,198,0.303,16,65399,0.5967391304347827,epr|trace_length|high_band_power|spectral_centroid|rpdi|cusum_max,3,0.5234299516908212,18239,72.11,0.4358695652173913,0.4531400966183575,0.4592995169082126,1227.6
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,198,0.404,16,65399,0.6603813559322034,trace_length|sw_var_peak|cusum_max|cusum_shift_idx,3,0.5018008474576272,4453,93.19,0.39311440677966103,0.44894067796610165,0.4227754237288135,1289.6
gsm8k,Llama-8B_T1.0,1319,0.791,16,65399,0.7655001597954619,epr|spectral_entropy|low_band_power|stft_spectral_entropy|sw_var_peak|cusum_shift_idx,4,0.7563292898133867,312,99.52,0.7381820834549168,0.7074735642725138,0.6075979268275737,1259.4
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,300,0.41,15,32647,0.8611455606081484,epr|spectral_entropy|dominant_freq|stft_spectral_entropy|rpdi|sw_var_peak,2,0.8439208120894768,644,98.03,0.8267879288962381,0.8210922787193974,0.7058931606265215,612.1
math500,Qwen-Math-7B_T1.0,300,0.28,14,16278,0.9584986772486772,epr|hl_ratio|stft_spectral_entropy|rpdi|cusum_shift_idx,2,0.9443893298059964,3647,77.6,0.9408619929453262,0.9662147266313933,0.18524029982363316,372.9
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,300,0.443,16,65399,0.8862725676466615,epr|trace_length|spectral_entropy|dominant_freq|hurst_exponent|cusum_shift_idx,4,0.8667327000135068,22580,65.47,0.8666876772770248,0.8558371977848813,0.244968709198145,1263.6
math500,deepseek-math-7b-instruct_T1.0,300,0.197,16,65399,0.7475209227090512,epr|trace_length|spectral_entropy|pe_mean|hurst_exponent|cusum_shift_idx,5,0.7156621422040932,9527,85.43,0.6996272593009354,0.7079260144876574,0.5518672199170125,831.8
qa,spectral_phase9_cache_trivia_qa_cot_traces_T1.0,285,0.277,16,65399,0.715128425709721,high_band_power|dominant_freq|rpdi|sw_var_peak,3,0.6549096718692392,255,99.61,0.5745975175125968,0.6595182499692761,0.6511613616812093,1233.6
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,52,0.038,14,16278,1.0,epr|spectral_entropy|hl_ratio|dominant_freq|pe_mean|cusum_shift_idx,3,0.9600000000000001,321,98.03,0.91,0.84,0.44,305.5
qa,spectral_phase9_cache_webq_cot_traces_T1.0,290,0.114,16,65399,0.672798019101521,stft_max_high_power|sw_var_peak|cusum_max,2,0.6358919938686476,3083,95.29,0.6211531659002476,0.612545690366702,0.6256337696026413,1243.6
rag,Llama-8B/2wikimultihopqa,99,0.253,14,16278,0.7183783783783783,low_band_power|hl_ratio|rpdi|sw_var_peak|cusum_shift_idx,2,0.5945945945945946,294,98.19,0.5405405405405406,0.587027027027027,0.6162162162162163,387.9
rag,Llama-8B/hotpotqa,93,0.312,14,16278,0.884698275862069,epr|dominant_freq|rpdi|pe_mean,3,0.7758620689655172,3379,79.24,0.7306034482758621,0.8771551724137931,0.765625,304.5
rag,Llama-8B/narrativeqa,459,0.146,14,16278,0.6513097776424002,epr|spectral_centroid|rpdi|cusum_shift_idx,3,0.5728754188242462,2959,81.82,0.534267438318611,0.6008604934511118,0.6101127017971368,356.4
rag,Llama-8B/natural-questions,121,0.066,14,16278,0.7146017699115046,trace_length|spectral_entropy|low_band_power|high_band_power|rpdi|pe_mean|cusum_max|cusum_shift_idx,3,0.6338495575221239,4469,72.55,0.6371681415929203,0.4889380530973451,0.5110619469026548,303.4
rag,Mistral-24B/2wikimultihopqa,47,0.319,16,65399,0.7416666666666667,epr|low_band_power|high_band_power|hl_ratio|cusum_shift_idx,2,0.4625,11047,83.11,0.42291666666666666,0.5729166666666667,0.7666666666666666,2209.9
rag,Mistral-24B/hotpotqa,46,0.391,16,65399,0.7738095238095237,hl_ratio|hurst_exponent|cusum_shift_idx,2,0.6051587301587302,51392,21.42,0.6309523809523809,0.5853174603174602,0.45833333333333337,2336.8
rag,Mistral-24B/narrativeqa,238,0.143,14,16278,0.6734429065743945,epr|spectral_entropy|pe_mean|cusum_shift_idx,3,0.6157727797001153,466,97.14,0.5644463667820069,0.6597462514417531,0.5588235294117647,313.0
rag,Mistral-24B/natural-questions,44,0.205,16,65399,0.7714285714285715,high_band_power|rpdi|sw_var_peak|pe_mean,3,0.3746031746031746,35384,45.9,0.4031746031746032,0.47619047619047616,0.49841269841269836,1227.2
rag,Qwen-72B/2wikimultihopqa,198,0.116,15,32647,0.6680745341614907,spectral_entropy|stft_spectral_entropy|hurst_exponent,2,0.5339130434782609,11945,63.41,0.5072049689440994,0.46397515527950306,0.44708074534161485,626.1
rag,Qwen-72B/hotpotqa,169,0.154,15,32647,0.7988165680473372,trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|stft_max_high_power|hurst_exponent|cusum_max|cusum_shift_idx,3,0.7178590640129101,22085,32.35,0.7598171059709521,0.6525013448090371,0.6837009144701452,606.6
rag,Qwen-72B/narrativeqa,345,0.104,14,16278,0.674217907227616,epr|spectral_centroid|pe_mean,2,0.6031103919453433,6750,58.53,0.6040093491549803,0.6496763754045307,0.6475188781014023,318.0
rag,Qwen-72B/natural-questions,171,0.129,13,8100,0.692190359975595,epr|hl_ratio|spectral_centroid|hurst_exponent,3,0.6494813910921293,1080,86.67,0.6552776082977426,0.6253813300793167,0.5701647345942648,187.4
rag,Qwen-7B/2wikimultihopqa,192,0.073,16,65399,0.7740770465489566,low_band_power|hl_ratio|dominant_freq|stft_spectral_entropy|hurst_exponent|cusum_shift_idx,2,0.5108346709470305,38805,40.66,0.5553772070626003,0.5714285714285714,0.6420545746388444,1472.3
rag,Qwen-7B/hotpotqa,169,0.089,16,65399,0.7787878787878788,spectral_entropy|dominant_freq|stft_max_high_power,2,0.6253246753246754,30644,53.14,0.6943722943722943,0.5829004329004329,0.645021645021645,1360.4
rag,Qwen-7B/narrativeqa,235,0.119,16,65399,0.7239475500345066,spectral_entropy|hl_ratio|spectral_centroid|sw_var_peak|pe_mean|cusum_shift_idx,5,0.6495859213250518,10989,83.2,0.6285369220151829,0.6761559696342304,0.6670117322291236,1362.7
rag,Qwen-7B/natural-questions,103,0.107,16,65399,0.7598814229249011,low_band_power|high_band_power|stft_max_high_power|cusum_max,2,0.6136363636363636,30928,52.71,0.6422924901185771,0.5849802371541503,0.7124505928853755,1488.5
trace,gpqa_r1_7b_raw,150,0.287,15,32647,0.6087806998478592,epr|spectral_entropy|hl_ratio|stft_max_high_power|hurst_exponent,2,0.46446424690284727,6876,78.94,0.42338622038687246,0.5031514888067812,0.43447076722451644,600.0
trace,gsm8k_llama8b_raw,200,0.8,16,65399,0.7982812499999998,epr|trace_length|low_band_power|rpdi|pe_mean,2,0.75390625,4337,93.37,0.7096875,0.7312500000000001,0.6001562499999998,1232.5
trace,math500_qwen1.5b_raw,400,0.207,16,65399,0.6938922883964883,epr|trace_length|high_band_power|cusum_shift_idx,3,0.6563414541446543,52780,19.3,0.669491847516248,0.6712401657101593,0.4280339021701949,1234.3
